#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           1    0.117851  0.00119826           0
           1    0.353553  0.00228758           0
           1    0.589256  0.00201525           0
           1    0.824958  0.00239651           0
           1     1.06066  0.00299564           0
           1     1.29636  0.00501089           0
           1     1.53206   0.0211329           0
           1     1.76777   0.0454793           0
           1     2.00347    0.049183           0
           1     2.23917     1.37832           0
           1     2.47487     3.17653           0
           1     2.71058     1.11149           0
           1     2.94628   0.0767429           0
           1     3.18198  0.00599129           0
           1     3.41768  0.00157952           0
           1     3.65339           0           0
           1     3.88909           0           0
           1     4.12479           0           0
           1     4.36049           0           0
           1     4.59619           0           0
           1      4.8319           0           0
           1      5.0676           0           0
           1      5.3033           0           0
           1       5.539           0           0
           1     5.77471           0           0
           1     6.01041           0           0
           1     6.24611           0           0
           1     6.48181           0           0
           1     6.71751           0           0
           1     6.95322           0           0
           2    0.117851 0.000599129 0.000423648
           2    0.353553  0.00185185 0.000308108
           2    0.589256   0.0138617  0.00837667
           2    0.824958   0.0172658   0.0105142
           2     1.06066   0.0223312   0.0136723
           2     1.29636   0.0248094   0.0139996
           2     1.53206   0.0957516   0.0527634
           2     1.76777    0.146215   0.0712306
           2     2.00347   0.0975763   0.0342192
           2     2.23917     1.15281    0.159465
           2     2.47487      2.7174    0.324649
           2     2.71058     1.13962   0.0198922
           2     2.94628    0.182135   0.0745235
           2     3.18198    0.147849    0.100308
           2     3.41768   0.0914488   0.0635472
           2     3.65339   0.0201253   0.0142307
           2     3.88909  0.00343137  0.00242635
           2     4.12479 0.000272331 0.000192567
           2     4.36049  0.00694444  0.00491046
           2     4.59619 5.44662e-05 3.85134e-05
           2      4.8319           0           0
           2      5.0676           0           0
           2      5.3033           0           0
           2       5.539           0           0
           2     5.77471           0           0
           2     6.01041           0           0
           2     6.24611           0           0
           2     6.48181           0           0
           2     6.71751           0           0
           2     6.95322           0           0
           3    0.117851  0.00615468  0.00454488
           3    0.353553    0.022894    0.017182
           3    0.589256   0.0169572  0.00612977
           3    0.824958   0.0250363  0.00945443
           3     1.06066   0.0690632   0.0392301
           3     1.29636    0.103486   0.0649135
           3     1.53206     0.16329   0.0654084
           3     1.76777    0.177469   0.0539097
           3     2.00347    0.196278   0.0837564
           3     2.23917    0.996986    0.165795
           3     2.47487     2.22812    0.454356
           3     2.71058     1.10497   0.0312452
           3     2.94628      0.2689   0.0865279
           3     3.18198    0.222985   0.0907497
           3     3.41768    0.156826   0.0681488
           3     3.65339   0.0739107   0.0449287
           3     3.88909   0.0121097  0.00726808
           3     4.12479  0.00735294  0.00578272
           3     4.36049   0.0232934   0.0137444
           3     4.59619  0.00535585  0.00432863
           3      4.8319 0.000907771 0.000741192
           3      5.0676           0           0
           3      5.3033           0           0
           3       5.539           0           0
           3     5.77471           0           0
           3     6.01041           0           0
           3     6.24611           0           0
           3     6.48181           0           0
           3     6.71751           0           0
           3     6.95322           0           0
           4    0.117851  0.00716231  0.00351858
           4    0.353553   0.0322712    0.015232
           4    0.589256   0.0291394   0.0115083
           4    0.824958   0.0497004    0.022506
