#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.364956   -0.364956           0
           2   -0.342976   -0.353966  0.00777106
           3    -0.28235   -0.330094   0.0201682
           4   -0.320221   -0.327626   0.0152765
           5   -0.336376   -0.329376    0.012321
           6   -0.324292   -0.328528   0.0102966
           7   -0.259322   -0.318642   0.0127151
           8    -0.32261   -0.319138   0.0111354
           9   -0.313118   -0.318469  0.00991819
          10   -0.313868   -0.318009  0.00893704
          11   -0.308707   -0.317163  0.00816449
          12   -0.365293   -0.321174  0.00841177
          13   -0.303284   -0.319798  0.00787648
          14   -0.289085   -0.317604  0.00761326
          15   -0.330041   -0.318433  0.00715071
          16   -0.326124   -0.318914  0.00671993
          17   -0.370604   -0.321955  0.00697872
          18   -0.314169   -0.321522  0.00660441
          19   -0.300493   -0.320415  0.00634887
          20   -0.293802   -0.319085   0.0061693
          21   -0.287398   -0.317576  0.00605723
          22   -0.315817   -0.317496  0.00578243
          23   -0.343207   -0.318614  0.00563804
          24   -0.349513   -0.319901  0.00554818
          25   -0.334993   -0.320505  0.00535899
          26   -0.382461   -0.322888  0.00565793
          27   -0.441008   -0.327263  0.00693649
          28   -0.377072   -0.329041   0.0069131
          29   -0.322124   -0.328803  0.00667883
          30   -0.352628   -0.329597  0.00650325
          31   -0.308958   -0.328931  0.00632746
          32   -0.283184   -0.327502  0.00628915
          33   -0.339926   -0.327878  0.00610983
          34    -0.34663    -0.32843  0.00595497
          35   -0.333761   -0.328582  0.00578677
          36   -0.352046   -0.329234  0.00566262
          37   -0.319856    -0.32898  0.00551524
          38   -0.315718   -0.328631  0.00538114
          39   -0.296864   -0.327817  0.00530445
          40   -0.319914   -0.327619  0.00517552
          41   -0.257934    -0.32592  0.00532105
          42   -0.252387   -0.324169  0.00547482
          43   -0.347459    -0.32471  0.00537422
          44   -0.298628   -0.324118  0.00528467
          45   -0.343712   -0.324553  0.00518514
          46   -0.299121      -0.324  0.00510181
          47   -0.390487   -0.325415  0.00518567
          48   -0.351663   -0.325962  0.00510639
          49   -0.307358   -0.325582  0.00501627
          50   -0.300895   -0.325088  0.00494018
          51   -0.312069   -0.324833  0.00484991
          52   -0.322753   -0.324793   0.0047568
          53   -0.280931   -0.323965   0.0047385
          54    -0.31071    -0.32372   0.0046571
          55   -0.348486    -0.32417  0.00459414
          56   -0.290882   -0.323576   0.0045504
          57   -0.349433   -0.324029  0.00449312
          58   -0.399445    -0.32533  0.00459995
          59   -0.289413   -0.324721  0.00456209
          60   -0.283129   -0.324028  0.00453842
          61   -0.264747   -0.323056  0.00456688
          62   -0.285287   -0.322447  0.00453367
          63   -0.326601   -0.322513  0.00446218
          64   -0.382356   -0.323448  0.00448936
          65   -0.349938   -0.323855  0.00443875
          66   -0.299575   -0.323487  0.00438672
          67    -0.31327   -0.323335   0.0043239
          68   -0.315611   -0.323221   0.0042618
          69   -0.317683   -0.323141  0.00420079
          70    -0.32636   -0.323187  0.00414103
          71    -0.26561   -0.322376  0.00416135
          72   -0.251782   -0.321396  0.00421748
          73   -0.242608   -0.320316  0.00429559
          74   -0.319085     -0.3203  0.00423757
          75   -0.315699   -0.320238  0.00418151
          76    -0.29233   -0.319871  0.00414259
          77   -0.332657   -0.320037  0.00409212
          78   -0.333714   -0.320212  0.00404341
          79   -0.303266   -0.319998  0.00399791
          80   -0.325896   -0.320072  0.00394862
          81     -0.3431   -0.320356  0.00391009
          82   -0.336396   -0.320552   0.0038673
          83    -0.30513   -0.320366  0.00382516
          84   -0.288366   -0.319985  0.00379855
          85   -0.304873   -0.319807  0.00375802
          86   -0.346568   -0.320118  0.00372718
          87   -0.357829   -0.320552  0.00370946
          88   -0.398127   -0.321433   0.0037706
          89   -0.357118   -0.321834  0.00374949
          90   -0.339748   -0.322033  0.00371311
          91   -0.296304   -0.321751  0.00368305
          92   -0.341716   -0.321968  0.00364941
          93   -0.271468   -0.321425  0.00365034
          94   -0.272729   -0.320906  0.00364808
          95   -0.311758    -0.32081  0.00361095
          96   -0.368545   -0.321307  0.00360741
          97   -0.388519      -0.322  0.00363616
          98   -0.330451   -0.322087  0.00360008
          99   -0.373103   -0.322602  0.00360041
         100   -0.395825   -0.323334   0.0036381
