#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.32655     3.32655           0
           2     3.30464      3.3156  0.00774702
           3     3.24396     3.29172   0.0201699
           4     3.28177     3.28923   0.0152798
           5     3.29796     3.29098   0.0123232
           6     3.28609     3.29016   0.0102962
           7     3.22099     3.28028   0.0127115
           8     3.28424     3.28077   0.0111322
           9     3.27494     3.28013  0.00991418
          10     3.27561     3.27967  0.00893306
          11     3.27043     3.27883  0.00816039
          12       3.327     3.28285  0.00840991
          13     3.26516     3.28149   0.0078723
          14     3.25079     3.27929  0.00760926
          15      3.2919     3.28013  0.00714824
          16     3.28796     3.28062  0.00671819
          17     3.33245     3.28367  0.00698043
          18     3.27594     3.28324  0.00660584
          19     3.26225     3.28214   0.0063499
          20     3.25561     3.28081   0.0061694
          21     3.24913      3.2793  0.00605731
          22     3.27754     3.27922   0.0057825
          23     3.30506     3.28035  0.00563918
          24     3.31127     3.28163  0.00554943
          25     3.29655     3.28223  0.00535945
          26     3.34404     3.28461  0.00565603
          27     3.40252     3.28898  0.00693027
          28     3.33888     3.29076  0.00690815
          29     3.28374     3.29052  0.00667418
          30     3.31416      3.2913  0.00649809
          31     3.27067     3.29064  0.00632248
          32     3.24478      3.2892  0.00628521
          33     3.30169     3.28958  0.00610613
          34     3.30834     3.29013   0.0059514
          35     3.29542     3.29029  0.00578328
          36     3.31369     3.29094  0.00565907
          37     3.28161     3.29068  0.00551173
          38     3.27737     3.29033  0.00537781
          39     3.25851     3.28952  0.00530144
          40     3.28148     3.28932  0.00517271
          41     3.21972     3.28762   0.0053178
          42     3.21403     3.28587  0.00547225
          43     3.30912     3.28641  0.00537165
          44     3.26046     3.28582  0.00528184
          45     3.30551     3.28626  0.00518255
          46     3.26085      3.2857  0.00509923
          47     3.35211     3.28712   0.0051828
          48     3.31345     3.28767  0.00510377
          49     3.26919     3.28729  0.00501352
          50     3.26263     3.28679  0.00493745
          51     3.27373     3.28654  0.00484729
          52     3.28432      3.2865  0.00475426
          53      3.2425     3.28567  0.00473646
          54     3.27218     3.28542  0.00465533
          55     3.31022     3.28587  0.00459248
          56     3.25264     3.28527  0.00454865
          57     3.31104     3.28573  0.00449126
          58     3.36102     3.28702  0.00459762
          59      3.2511     3.28642  0.00455984
          60     3.24485     3.28572  0.00453616
          61     3.22661     3.28475  0.00456415
          62     3.24694     3.28414   0.0045311
          63     3.28833     3.28421  0.00445966
          64     3.34409     3.28515  0.00448707
          65     3.31184     3.28556  0.00443679
          66     3.26145     3.28519  0.00438457
          67     3.27498     3.28504  0.00432178
          68     3.27743     3.28493  0.00425967
          69      3.2793     3.28485  0.00419872
          70     3.28815     3.28489    0.004139
          71     3.22725     3.28408  0.00415956
          72     3.21357      3.2831   0.0042155
          73     3.20433     3.28202  0.00429365
          74     3.28083     3.28201  0.00423566
          75      3.2774     3.28194  0.00417962
          76     3.25403     3.28158  0.00414074
          77     3.29427     3.28174  0.00409024
          78     3.29545     3.28192  0.00404158
          79     3.26503      3.2817  0.00399607
          80     3.28757     3.28178   0.0039468
          81     3.30488     3.28206  0.00390836
          82     3.29819     3.28226  0.00386565
          83     3.26695     3.28207  0.00382347
          84     3.25021      3.2817  0.00379672
          85     3.26662     3.28152  0.00375619
          86     3.30824     3.28183  0.00372535
          87     3.31949     3.28226  0.00370759
          88     3.35962     3.28314  0.00376822
          89     3.31876     3.28354  0.00374708
          90     3.30153     3.28374  0.00371077
          91     3.25804     3.28346  0.00368073
          92     3.30344     3.28368  0.00364712
          93     3.23327     3.28313  0.00364796
          94     3.23453     3.28262  0.00364561
          95     3.27345     3.28252  0.00360851
          96     3.33018     3.28302  0.00360492
          97      3.3502     3.28371  0.00363368
          98     3.29225      3.2838  0.00359764
          99     3.33488     3.28431  0.00359811
         100     3.35754     3.28504  0.00363589
