#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           1    0.117851           0           0
           1    0.353553   0.0154139           0
           1    0.589256   0.0851307           0
           1    0.824958    0.283878           0
           1     1.06066    0.250163           0
           1     1.29636    0.466013           0
           1     1.53206    0.452941           0
           1     1.76777    0.586166           0
           1     2.00347    0.453813           0
           1     2.23917    0.600763           0
           1     2.47487    0.457734           0
           1     2.71058     0.47805           0
           1     2.94628    0.260076           0
           1     3.18198    0.341449           0
           1     3.41768    0.238725           0
           1     3.65339    0.222386           0
           1     3.88909    0.275381           0
           1     4.12479    0.111111           0
           1     4.36049    0.123638           0
           1     4.59619    0.152723           0
           1      4.8319   0.0267974           0
           1      5.0676           0           0
           1      5.3033           0           0
           1       5.539           0           0
           1     5.77471           0           0
           1     6.01041           0           0
           1     6.24611           0           0
           1     6.48181           0           0
           1     6.71751           0           0
           1     6.95322           0           0
           2    0.117851  0.00152505  0.00107838
           2    0.353553   0.0157952 0.000269594
           2    0.589256    0.102097   0.0119969
           2    0.824958    0.261084   0.0161179
           2     1.06066    0.199728   0.0356634
           2     1.29636    0.507952   0.0296553
           2     1.53206    0.409559    0.030676
           2     1.76777     0.62963   0.0307337
           2     2.00347    0.438589   0.0107645
           2     2.23917    0.557162     0.03083
           2     2.47487     0.44104   0.0118044
           2     2.71058    0.572168   0.0665512
           2     2.94628    0.345016   0.0600617
           2     3.18198    0.327369  0.00995572
           2     3.41768    0.222876   0.0112074
           2     3.65339    0.192729   0.0209706
           2     3.88909    0.260675   0.0103986
           2     4.12479    0.118682  0.00535337
           2     4.36049   0.0899237   0.0238398
           2     4.59619    0.114679   0.0269016
           2      4.8319   0.0549837   0.0199307
           2      5.0676   0.0174837   0.0123628
           2      5.3033  0.00160675  0.00113615
           2       5.539           0           0
           2     5.77471           0           0
           2     6.01041           0           0
           2     6.24611           0           0
           2     6.48181           0           0
           2     6.71751           0           0
           2     6.95322           0           0
           3    0.117851   0.0010167 0.000830135
           3    0.353553   0.0105664  0.00427304
           3    0.589256    0.119662   0.0164214
           3    0.824958    0.240396   0.0200198
           3     1.06066    0.209895   0.0251832
           3     1.29636    0.462418   0.0421079
           3     1.53206    0.373003   0.0361817
           3     1.76777    0.601979   0.0304879
           3     2.00347    0.431155  0.00939942
           3     2.23917    0.589633   0.0335462
           3     2.47487    0.548094   0.0877623
           3     2.71058    0.585911   0.0457646
           3     2.94628    0.362019   0.0423794
           3     3.18198    0.338907   0.0115238
           3     3.41768    0.230991   0.0099866
           3     3.65339    0.183824   0.0157582
           3     3.88909    0.249201   0.0116546
           3     4.12479   0.0968591   0.0181721
           3     4.36049   0.0751816    0.019937
           3     4.59619   0.0906863   0.0265594
           3      4.8319   0.0641612   0.0152545
           3      5.0676   0.0146514  0.00856016
           3      5.3033  0.00214234 0.000874606
           3       5.539           0           0
           3     5.77471           0           0
           3     6.01041           0           0
           3     6.24611           0           0
           3     6.48181           0           0
           3     6.71751           0           0
           3     6.95322           0           0
