#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      2.2177      2.2177           0
           2     2.20309      2.2104  0.00516468
           3     2.16264     2.19448   0.0134466
           4     2.18785     2.19282   0.0101866
           5     2.19864     2.19398  0.00821546
           6     2.19072     2.19344  0.00686415
           7     2.14733     2.18685  0.00847432
           8      2.1895     2.18718  0.00742147
           9     2.18329     2.18675  0.00660945
          10     2.18374     2.18645  0.00595537
          11     2.18029     2.18589  0.00544026
          12       2.218     2.18857  0.00560661
          13     2.17677     2.18766   0.0052482
          14     2.16719      2.1862  0.00507284
          15      2.1946     2.18676  0.00476549
          16     2.19197     2.18708   0.0044788
          17     2.22163     2.18911  0.00465362
          18     2.18396     2.18883  0.00440389
          19     2.17483     2.18809  0.00423327
          20     2.17041     2.18721  0.00411294
          21     2.16608      2.1862  0.00403821
          22     2.18503     2.18615    0.003855
          23     2.20338      2.1869  0.00375945
          24     2.20751     2.18776  0.00369962
          25      2.1977     2.18815  0.00357296
          26     2.22936     2.18974  0.00377069
          27     2.26834     2.19265  0.00462018
          28     2.22592     2.19384  0.00460543
          29     2.18916     2.19368  0.00444945
          30     2.20944      2.1942  0.00433206
          31     2.18044     2.19376  0.00421499
          32     2.16319      2.1928  0.00419014
          33     2.20113     2.19306  0.00407075
          34     2.20556     2.19342   0.0039676
          35     2.19694     2.19352  0.00385552
          36     2.20913     2.19396  0.00377271
          37     2.18774     2.19379  0.00367449
          38     2.18491     2.19356  0.00358521
          39     2.17234     2.19301   0.0035343
          40     2.18766     2.19288  0.00344847
          41     2.14648     2.19175   0.0035452
          42     2.14268     2.19058  0.00364817
          43     2.20608     2.19094   0.0035811
          44     2.17364     2.19055  0.00352123
          45     2.20367     2.19084  0.00345504
          46      2.1739     2.19047  0.00339949
          47     2.23474     2.19141   0.0034552
          48     2.20897     2.19178  0.00340251
          49     2.17946     2.19153  0.00334235
          50     2.17508      2.1912  0.00329164
          51     2.18248     2.19103  0.00323152
          52     2.18955       2.191   0.0031695
          53     2.16167     2.19044  0.00315764
          54     2.18145     2.19028  0.00310355
          55     2.20681     2.19058  0.00306165
          56     2.16842     2.19018  0.00303243
          57     2.20736     2.19048  0.00299417
          58     2.24068     2.19135  0.00306508
          59      2.1674     2.19094   0.0030399
          60     2.16323     2.19048  0.00302411
          61     2.15107     2.18984  0.00304277
          62     2.16463     2.18943  0.00302073
          63     2.19222     2.18947  0.00297311
          64      2.2294      2.1901  0.00299138
          65     2.20789     2.19037  0.00295786
          66      2.1743     2.19013  0.00292305
          67     2.18332     2.19003  0.00288118
          68     2.18495     2.18995  0.00283978
          69      2.1862      2.1899  0.00279914
          70      2.1921     2.18993  0.00275933
          71      2.1515     2.18939  0.00277304
          72     2.14238     2.18873  0.00281033
          73     2.13622     2.18801  0.00286243
          74     2.18722       2.188  0.00282377
          75     2.18494     2.18796  0.00278642
          76     2.16935     2.18772  0.00276049
          77     2.19618     2.18783  0.00272683
          78     2.19697     2.18795  0.00269439
          79     2.17668      2.1878  0.00266405
          80     2.19172     2.18785   0.0026312
          81     2.20326     2.18804  0.00260558
          82     2.19879     2.18817   0.0025771
          83     2.17797     2.18805  0.00254898
          84     2.16681      2.1878  0.00253115
          85     2.17775     2.18768  0.00250413
          86     2.20549     2.18789  0.00248356
          87     2.21299     2.18817  0.00247173
          88     2.23975     2.18876  0.00251215
          89     2.21251     2.18903  0.00249806
          90     2.20102     2.18916  0.00247385
          91     2.17202     2.18897  0.00245382
          92     2.20229     2.18912  0.00243142
          93     2.15551     2.18876  0.00243197
          94     2.15635     2.18841  0.00243041
          95      2.1823     2.18835  0.00240567
          96     2.22012     2.18868  0.00240328
          97     2.23347     2.18914  0.00242245
          98     2.19483      2.1892  0.00239843
          99     2.22325     2.18954  0.00239874
         100     2.23836     2.19003  0.00242393
