#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        3.11        3.11           0
           2      3.1934      3.1517   0.0294853
           3     3.25941      3.1876   0.0352952
           4     3.24348     3.20157   0.0291046
           5     3.28419      3.2181   0.0275782
           6     3.28158     3.22868   0.0249289
           7     3.25711     3.23274   0.0216961
           8     3.28752     3.23959   0.0200355
           9     3.30033     3.24634    0.018912
          10     3.31225     3.25293   0.0181329
          11     3.26367      3.2539   0.0165108
          12     3.22219     3.25126   0.0153449
          13     3.26094     3.25201   0.0141826
          14     3.29305     3.25494   0.0134691
          15     3.27935     3.25656   0.0126691
          16     3.28482     3.25833   0.0119997
          17     3.24391     3.25748   0.0113238
          18     3.27066     3.25821   0.0107183
          19     3.24618     3.25758   0.0101729
          20     3.26863     3.25813  0.00967923
          21     3.25266     3.25787  0.00922182
          22     3.24418     3.25725  0.00882363
          23      3.2658     3.25762  0.00844781
          24     3.28897     3.25893  0.00819619
          25     3.26194     3.25905  0.00786923
          26     3.28039     3.25987  0.00760925
          27     3.29531     3.26118  0.00743976
          28     3.28723     3.26211  0.00723201
          29     3.26431     3.26219  0.00698302
          30     3.26755     3.26237  0.00675255
          31     3.22842     3.26127  0.00662292
          32     3.30914     3.26277  0.00658273
          33     3.24424     3.26221  0.00640714
          34     3.28865     3.26298  0.00626571
          35     3.28414     3.26359  0.00611578
          36     3.25353     3.26331  0.00595228
          37     3.26694     3.26341  0.00579222
          38     3.23374     3.26263  0.00569215
          39     3.26443     3.26267  0.00554639
          40     3.30569     3.26375    0.005511
          41     3.32342      3.2652  0.00556545
          42     3.34151     3.26702   0.0057218
          43     3.30525     3.26791  0.00565738
          44     3.28715     3.26835  0.00554568
          45     3.26108     3.26819  0.00542479
          46     3.26324     3.26808  0.00530793
          47     3.26591     3.26803  0.00519519
          48     3.24405     3.26753  0.00511092
          49     3.30014      3.2682  0.00504976
          50     3.25844       3.268  0.00495253
          51     3.30672     3.26876  0.00491327
          52     3.30069     3.26938  0.00485699
          53     3.36185     3.27112  0.00506904
          54     3.39045     3.27333  0.00543557
          55     3.35463     3.27481  0.00553411
          56     3.37057     3.27652  0.00569334
          57     3.30687     3.27705   0.0056183
          58     3.32332     3.27785  0.00557778
          59     3.30637     3.27833  0.00550415
          60     3.36991     3.27986  0.00562006
          61     3.30824     3.28032  0.00554715
          62     3.28247     3.28036  0.00545779
          63     3.32942     3.28114  0.00542644
          64     3.34994     3.28221  0.00544709
          65     3.28098     3.28219  0.00536332
          66       3.281     3.28217  0.00528209
          67     3.27709      3.2821   0.0052038
          68     3.31358     3.28256  0.00514782
          69     3.25945     3.28223   0.0050841
          70     3.25723     3.28187  0.00502399
          71     3.27078     3.28171  0.00495566
          72     3.32175     3.28227  0.00491793
          73     3.30722     3.28261  0.00486242
          74     3.27769     3.28254  0.00479716
          75     3.29665     3.28273  0.00473689
          76     3.27279      3.2826  0.00467636
          77     3.28739     3.28266  0.00461604
          78     3.28397     3.28268  0.00455689
          79     3.31964     3.28315  0.00452316
          80     3.31611     3.28356  0.00448535
          81      3.2735     3.28344  0.00443169
          82      3.3099     3.28376  0.00438938
          83     3.28467     3.28377  0.00433651
          84     3.23309     3.28317  0.00432665
          85     3.24817     3.28276  0.00429529
          86     3.27459     3.28266  0.00424639
          87     3.29388     3.28279  0.00419954
          88      3.2743     3.28269  0.00415293
          89      3.3268     3.28319  0.00413573
          90     3.26984     3.28304  0.00409244
          91      3.2756     3.28296  0.00404829
          92     3.27494     3.28287  0.00400522
          93     3.28424     3.28289  0.00396218
          94     3.22099     3.28223  0.00397437
          95     3.28609     3.28227  0.00393274
          96     3.29796     3.28243  0.00389517
          97     3.28177     3.28242  0.00385502
          98     3.24396     3.28203  0.00383561
          99     3.30464     3.28226  0.00380366
         100     3.32655      3.2827  0.00379132
