#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           1    0.117851   0.0129085           0
           1    0.353553  0.00860566           0
           1    0.589256  0.00152505           0
           1    0.824958    0.046732           0
           1     1.06066   0.0362745           0
           1     1.29636    0.063671           0
           1     1.53206   0.0242375           0
           1     1.76777   0.0332244           0
           1     2.00347     0.08622           0
           1     2.23917     1.37631           0
           1     2.47487     2.74297           0
           1     2.71058     1.07277           0
           1     2.94628    0.159967           0
           1     3.18198   0.0764161           0
           1     3.41768   0.0349673           0
           1     3.65339   0.0504902           0
           1     3.88909   0.0349673           0
           1     4.12479   0.0164488           0
           1     4.36049  0.00364924           0
           1     4.59619           0           0
           1      4.8319           0           0
           1      5.0676           0           0
           1      5.3033           0           0
           1       5.539           0           0
           1     5.77471           0           0
           1     6.01041           0           0
           1     6.24611           0           0
           1     6.48181           0           0
           1     6.71751           0           0
           1     6.95322           0           0
           2    0.117851   0.0172386  0.00306182
           2    0.353553    0.022195   0.0096091
           2    0.589256  0.00923203  0.00544965
           2    0.824958    0.058415  0.00826113
           2     1.06066    0.142075   0.0748124
           2     1.29636   0.0954248   0.0224533
           2     1.53206    0.105474   0.0574428
           2     1.76777     0.11683   0.0591181
           2     2.00347    0.230801    0.102234
           2     2.23917     1.16612    0.148623
           2     2.47487     2.08578    0.464703
           2     2.71058    0.999564   0.0517621
           2     2.94628    0.326634    0.117851
           2     3.18198    0.159722   0.0589063
           2     3.41768    0.151443    0.082361
           2     3.65339   0.0832789   0.0231851
           2     3.88909   0.0619553   0.0190834
           2     4.12479   0.0373094   0.0147506
           2     4.36049  0.00675381  0.00219527
           2     4.59619 0.000217865 0.000154054
           2      4.8319 0.000245098  0.00017331
           2      5.0676  0.00236928  0.00167533
           2      5.3033  0.00326797  0.00231081
           2       5.539           0           0
           2     5.77471           0           0
           2     6.01041           0           0
           2     6.24611           0           0
           2     6.48181           0           0
           2     6.71751           0           0
           2     6.95322           0           0
           3    0.117851   0.0114924  0.00511654
           3    0.353553   0.0147967  0.00880499
           3    0.589256  0.00827887  0.00371552
           3    0.824958   0.0639434  0.00712086
           3     1.06066    0.178177   0.0579345
           3     1.29636    0.194009   0.0818734
           3     1.53206    0.179702   0.0716921
           3     1.76777    0.191794   0.0727989
           3     2.00347    0.351489    0.119815
           3     2.23917    0.984296    0.178488
           3     2.47487     1.73962    0.419364
           3     2.71058    0.918736   0.0744731
           3     2.94628     0.38484   0.0918231
           3     3.18198    0.191104   0.0468907
           3     3.41768    0.159005   0.0552534
           3     3.65339   0.0920116   0.0170221
           3     3.88909   0.0983479   0.0323234
           3     4.12479    0.077342   0.0341338
           3     4.36049   0.0170298  0.00851697
           3     4.59619  0.00397603  0.00307025
           3      4.8319 0.000453885 0.000205939
           3      5.0676   0.0137073  0.00932461
           3      5.3033  0.00820625  0.00431636
           3       5.539           0           0
           3     5.77471           0           0
           3     6.01041           0           0
           3     6.24611           0           0
           3     6.48181           0           0
           3     6.71751           0           0
           3     6.95322           0           0
           4    0.117851   0.0106345  0.00390866
           4    0.353553   0.0168028  0.00682847
           4    0.589256   0.0259804   0.0155812
           4    0.824958   0.0756944    0.011493
           4     1.06066    0.191558   0.0449695
           4     1.29636    0.216993   0.0645508
           4     1.53206    0.220724   0.0644455
           4     1.76777    0.271201   0.0878078
           4     2.00347    0.435131    0.115421
           4     2.23917    0.890155    0.156738
           4     2.47487     1.46793    0.392789
           4     2.71058    0.830882   0.0943849
           4     2.94628    0.441639   0.0846305
           4     3.18198    0.238181   0.0538421
           4     3.41768     0.18189   0.0459354
           4     3.65339    0.119948   0.0273556
           4     3.88909    0.101185   0.0243667
           4     4.12479   0.0796841   0.0256805
           4     4.36049   0.0261438   0.0101539
           4     4.59619  0.00345861  0.00234588
           4      4.8319   0.0105664   0.0087591
           4      5.0676   0.0173883  0.00768576
           4      5.3033  0.00857843  0.00325327
           4       5.539           0           0
           4     5.77471           0           0
           4     6.01041           0           0
           4     6.24611           0           0
           4     6.48181           0           0
           4     6.71751           0           0
           4     6.95322           0           0
           5    0.117851   0.0085512  0.00364004
           5    0.353553   0.0138998  0.00604848
           5    0.589256   0.0351961   0.0149438
           5    0.824958   0.0836057    0.011602
           5     1.06066    0.217603   0.0428597
           5     1.29636     0.23317   0.0536293
           5     1.53206    0.227669   0.0519292
           5     1.76777    0.313704   0.0798731
           5     2.00347    0.507516    0.112773
           5     2.23917    0.859586    0.128337
           5     2.47487     1.27955    0.356554
           5     2.71058    0.762004   0.0974515
           5     2.94628    0.467919   0.0716686
           5     3.18198    0.238007    0.043074
           5     3.41768    0.217495    0.048627
           5     3.65339     0.13976   0.0281593
           5     3.88909    0.109129   0.0207479
           5     4.12479   0.0808061   0.0205689
           5     4.36049   0.0285403  0.00840119
           5     4.59619   0.0160131   0.0113848
           5      4.8319   0.0106645  0.00700783
           5      5.0676   0.0245643  0.00888822
           5      5.3033  0.00739651  0.00280912
           5       5.539           0           0
           5     5.77471           0           0
