#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.148288   -0.148288           0
           2   -0.231704   -0.189996    0.029492
           3   -0.297744   -0.225912   0.0353062
           4    -0.28172   -0.239864   0.0291061
           5    -0.32278   -0.256447   0.0276077
           6   -0.319966   -0.267034   0.0249538
           7   -0.295513   -0.271102   0.0217181
           8   -0.325956   -0.277959   0.0200565
           9   -0.338766   -0.284715   0.0189319
          10   -0.350548   -0.291299   0.0181472
          11   -0.301712   -0.292245   0.0165222
          12   -0.260363   -0.289588   0.0153574
          13    -0.29929   -0.290335   0.0141942
          14   -0.331404   -0.293268   0.0134801
          15   -0.317624   -0.294892   0.0126788
          16   -0.323145   -0.296658   0.0120087
          17   -0.282311   -0.295814   0.0113319
          18      -0.309   -0.296546    0.010726
          19   -0.284372   -0.295906   0.0101806
          20   -0.306854   -0.296453  0.00968631
          21   -0.291063   -0.296196  0.00922846
          22   -0.282504   -0.295574  0.00882994
          23   -0.304068   -0.295943  0.00845375
          24   -0.327302    -0.29725  0.00820187
          25   -0.300308   -0.297372  0.00787471
          26   -0.318724   -0.298193  0.00761453
          27   -0.333783   -0.299512  0.00744573
          28   -0.325533   -0.300441  0.00723757
          29   -0.302565   -0.300514  0.00698837
          30   -0.305734   -0.300688  0.00675759
          31   -0.266784   -0.299594  0.00662752
          32   -0.347389   -0.301088  0.00658655
          33   -0.282495   -0.300525  0.00641101
          34    -0.32704   -0.301304  0.00626971
          35   -0.322335   -0.301905   0.0061193
          36   -0.291853   -0.301626  0.00595569
          37   -0.305189   -0.301722   0.0057955
          38   -0.272044   -0.300941  0.00569537
          39   -0.302696   -0.300986  0.00554951
          40   -0.344051   -0.302063  0.00551422
          41   -0.361737   -0.303518  0.00556849
          42   -0.379815   -0.305335  0.00572455
          43   -0.343541   -0.306224  0.00565996
          44   -0.325358   -0.306658    0.005548
          45   -0.299433   -0.306498  0.00542703
          46    -0.30155    -0.30639  0.00531012
          47   -0.304211   -0.306344  0.00519734
          48   -0.282287   -0.305843  0.00511317
          49   -0.338355   -0.306506  0.00505169
          50   -0.296921   -0.306315  0.00495429
          51   -0.345134   -0.307076  0.00491527
          52   -0.338981   -0.307689  0.00485889
          53   -0.400301   -0.309437   0.0050717
          54   -0.428852   -0.311648  0.00543856
          55   -0.393099   -0.313129  0.00553764
          56   -0.408842   -0.314838  0.00569641
          57   -0.345263   -0.315372  0.00562143
          58   -0.361591   -0.316169   0.0055807
          59   -0.344644   -0.316651  0.00550694
          60   -0.408128   -0.318176  0.00562225
          61   -0.346505    -0.31864  0.00554923
          62   -0.320643   -0.318673  0.00545982
          63   -0.367854   -0.319453  0.00542868
          64   -0.388311   -0.320529  0.00544942
          65   -0.319257    -0.32051  0.00536562
          66   -0.319204    -0.32049  0.00528436
          67   -0.315582   -0.320417    0.005206
          68   -0.352005   -0.320881  0.00515012
          69   -0.297734   -0.320546   0.0050864
          70   -0.295518   -0.320188  0.00502629
          71    -0.30907   -0.320032  0.00495793
          72   -0.360036   -0.320587  0.00492011
          73   -0.345495   -0.320928  0.00486452
          74   -0.315902   -0.320861  0.00479926
          75   -0.334987   -0.321049  0.00473896
          76    -0.31111   -0.320918  0.00467841
          77   -0.325651    -0.32098  0.00461806
          78    -0.32234   -0.320997  0.00455889
          79    -0.35802   -0.321466   0.0045252
          80    -0.35441   -0.321877  0.00448734
          81   -0.311793   -0.321753  0.00443366
          82   -0.348274   -0.322076  0.00439138
          83   -0.322785   -0.322085  0.00433848
          84   -0.271355   -0.321481  0.00432866
          85   -0.286422   -0.321069  0.00429734
          86   -0.312842   -0.320973  0.00424843
          87   -0.331997     -0.3211  0.00420149
          88   -0.312615   -0.321003  0.00415485
          89   -0.365021   -0.321498   0.0041375
          90   -0.308052   -0.321348  0.00409422
          91    -0.31381   -0.321266  0.00405007
          92   -0.313256   -0.321178  0.00400698
          93   -0.322502   -0.321193  0.00396392
          94    -0.25921   -0.320533  0.00397622
          95   -0.324441   -0.320574  0.00393458
          96   -0.336413   -0.320739  0.00389705
          97   -0.320144   -0.320733  0.00385688
          98   -0.282364   -0.320342  0.00383734
          99   -0.343089   -0.320572  0.00380546
         100   -0.364897   -0.321015  0.00379313
