#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.07334     2.07334           0
           2     2.12893     2.10113   0.0196569
           3     2.17294     2.12507   0.0235301
           4     2.16232     2.13438   0.0194031
           5     2.18946      2.1454   0.0183855
           6     2.18772     2.15245   0.0166193
           7     2.17141     2.15516   0.0144641
           8     2.19168     2.15972    0.013357
           9     2.20022     2.16422    0.012608
          10     2.20816     2.16862   0.0120886
          11     2.17578     2.16927   0.0110072
          12     2.14813     2.16751   0.0102299
          13     2.17396       2.168  0.00945505
          14     2.19537     2.16996  0.00897943
          15     2.18623     2.17104  0.00844608
          16     2.18988     2.17222  0.00799981
          17     2.16261     2.17165  0.00754919
          18     2.18044     2.17214  0.00714555
          19     2.16412     2.17172  0.00678193
          20     2.17909     2.17209  0.00645282
          21     2.16844     2.17192  0.00614788
          22     2.16279      2.1715  0.00588242
          23      2.1772     2.17175  0.00563188
          24     2.19265     2.17262  0.00546413
          25     2.17463      2.1727  0.00524616
          26     2.18693     2.17325  0.00507284
          27     2.19687     2.17412  0.00495984
          28     2.19149     2.17474  0.00482134
          29      2.1762     2.17479  0.00465535
          30     2.17837     2.17491   0.0045017
          31     2.15228     2.17418  0.00441528
          32     2.20609     2.17518  0.00438849
          33     2.16283      2.1748  0.00427143
          34     2.19243     2.17532  0.00417714
          35     2.18943     2.17573  0.00407719
          36     2.16902     2.17554  0.00396819
          37     2.17796      2.1756  0.00386148
          38     2.15583     2.17508  0.00379477
          39     2.17629     2.17512  0.00369759
          40     2.20379     2.17583    0.003674
          41     2.21561      2.1768   0.0037103
          42     2.22767     2.17801  0.00381454
          43      2.2035     2.17861  0.00377159
          44     2.19143      2.1789  0.00369712
          45     2.17405     2.17879  0.00361653
          46      2.1755     2.17872  0.00353862
          47     2.17727     2.17869  0.00346346
          48      2.1627     2.17835  0.00340728
          49     2.20009      2.1788   0.0033665
          50     2.17229     2.17867  0.00330169
          51     2.20448     2.17917  0.00327551
          52     2.20046     2.17958  0.00323799
          53     2.24123     2.18075  0.00337936
          54      2.2603     2.18222  0.00362371
          55     2.23642     2.18321   0.0036894
          56     2.24705     2.18435  0.00379556
          57     2.20458      2.1847  0.00374554
          58     2.21555     2.18523  0.00371852
          59     2.20425     2.18555  0.00366944
          60     2.24661     2.18657  0.00374671
          61     2.20549     2.18688   0.0036981
          62     2.18831     2.18691  0.00363853
          63     2.21961     2.18742  0.00361763
          64     2.23329     2.18814  0.00363139
          65     2.18732     2.18813  0.00357555
          66     2.18733     2.18812  0.00352139
          67     2.18473     2.18807   0.0034692
          68     2.20905     2.18837  0.00343188
          69     2.17297     2.18815   0.0033894
          70     2.17149     2.18791  0.00334933
          71     2.18052     2.18781  0.00330378
          72      2.2145     2.18818  0.00327862
          73     2.20481     2.18841  0.00324161
          74     2.18513     2.18836  0.00319811
          75     2.19777     2.18849  0.00315792
          76     2.18186      2.1884  0.00311757
          77     2.19159     2.18844  0.00307736
          78     2.18931     2.18845  0.00303793
          79     2.21309     2.18877  0.00301544
          80     2.21074     2.18904  0.00299023
          81     2.18234     2.18896  0.00295446
          82      2.2066     2.18917  0.00292625
          83     2.18978     2.18918  0.00289101
          84     2.15539     2.18878  0.00288443
          85     2.16545      2.1885  0.00286353
          86     2.18306     2.18844  0.00283093
          87     2.19592     2.18853   0.0027997
          88     2.18287     2.18846  0.00276862
          89     2.21787     2.18879  0.00275716
          90     2.17989     2.18869  0.00272829
          91     2.18373     2.18864  0.00269886
          92     2.18329     2.18858  0.00267015
          93      2.1895     2.18859  0.00264145
          94     2.14733     2.18815  0.00264958
          95     2.19072     2.18818  0.00262183
          96     2.19864     2.18829  0.00259678
          97     2.18785     2.18828  0.00257001
          98     2.16264     2.18802  0.00255708
          99     2.20309     2.18817  0.00253577
         100      2.2177     2.18847  0.00252755
