#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.5263     -0.5263           0
           2    -0.53138    -0.52884  0.00179605
           3     -0.5287   -0.528793  0.00119797
           4    -0.52658    -0.52824  0.00101828
           5    -0.53256   -0.529104  0.00112286
           6      -0.526   -0.528587  0.00104814
           7    -0.53222   -0.529106  0.00101885
           8    -0.52376   -0.528437  0.00108879
           9    -0.52546   -0.528107  0.00101683
          10    -0.52822   -0.528118 0.000915211
          11    -0.52488   -0.527824 0.000878074
          12    -0.52864   -0.527892 0.000807532
          13    -0.53186   -0.528197 0.000801034
          14    -0.53096   -0.528394 0.000767746
          15    -0.52656   -0.528272 0.000726237
          16    -0.53158   -0.528479 0.000709666
          17    -0.52992   -0.528564 0.000672966
          18    -0.52808   -0.528537 0.000636115
          19    -0.52892   -0.528557 0.000602955
          20    -0.52754   -0.528506 0.000574947
          21    -0.52632   -0.528402 0.000556912
          22     -0.5313   -0.528534 0.000546956
          23    -0.53052    -0.52862  0.00052995
          24    -0.53314   -0.528808 0.000540298
          25    -0.52882   -0.528809 0.000518686
          26    -0.53096   -0.528892 0.000505293
          27    -0.52612   -0.528789 0.000496896
          28     -0.5243   -0.528629 0.000504349
          29    -0.52464   -0.528491 0.000505363
          30    -0.53026    -0.52855 0.000491946
          31    -0.53252   -0.528678 0.000492463
          32     -0.5298   -0.528713  0.00047832
          33    -0.52938   -0.528733 0.000464252
          34    -0.52748   -0.528696 0.000452059
          35    -0.52978   -0.528727 0.000440202
          36    -0.52434   -0.528606 0.000444525
          37    -0.53038   -0.528654  0.00043509
          38    -0.52912   -0.528666 0.000423813
          39    -0.52842   -0.528659 0.000412993
          40    -0.52752   -0.528631  0.00040365
          41     -0.5303   -0.528672 0.000395852
          42    -0.52694    -0.52863 0.000388568
          43    -0.52558    -0.52856 0.000385953
          44    -0.52772    -0.52854 0.000377653
          45    -0.52726   -0.528512 0.000370331
          46     -0.5349   -0.528651 0.000387444
          47    -0.52336   -0.528538 0.000395216
          48    -0.52832   -0.528534 0.000387008
          49     -0.5243   -0.528447 0.000388636
          50     -0.5238   -0.528354  0.00039182
          51    -0.52744   -0.528336 0.000384547
          52    -0.52596   -0.528291 0.000379858
          53    -0.53094   -0.528341 0.000375965
          54    -0.52992    -0.52837 0.000370139
          55     -0.5273   -0.528351  0.00036392
          56     -0.5309   -0.528396 0.000360258
          57    -0.52972   -0.528419 0.000354685
          58    -0.52624   -0.528382 0.000350555
          59    -0.53056   -0.528419 0.000346552
          60    -0.53062   -0.528455 0.000342713
          61     -0.5297   -0.528476 0.000337701
          62    -0.52666   -0.528446 0.000333522
          63    -0.53246    -0.52851 0.000334257
          64    -0.52906   -0.528519 0.000329145
          65    -0.52782   -0.528508 0.000324256
          66    -0.52666    -0.52848  0.00032055
          67    -0.52664   -0.528453  0.00031694
          68    -0.52474   -0.528398 0.000316946
          69    -0.52534   -0.528354 0.000315436
          70    -0.52508   -0.528307 0.000314378
          71    -0.52542   -0.528266 0.000312568
          72     -0.5304   -0.528296 0.000309629
          73    -0.52416   -0.528239 0.000310527
          74     -0.5305    -0.52827  0.00030783
          75    -0.52814   -0.528268 0.000303731
          76    -0.52834   -0.528269 0.000299736
          77    -0.53102   -0.528305 0.000297965
          78    -0.52992   -0.528325 0.000294863
          79    -0.52968   -0.528343 0.000291629
          80    -0.53074   -0.528372  0.00028952
          81    -0.53394   -0.528441 0.000293991
          82     -0.5289   -0.528447 0.000290459
          83    -0.52524   -0.528408 0.000289518
          84    -0.52746   -0.528397 0.000286291
          85    -0.52888   -0.528403 0.000282979
          86    -0.52952   -0.528416 0.000279987
          87    -0.53074   -0.528442 0.000278041
          88    -0.52746   -0.528431 0.000275105
          89     -0.5278   -0.528424 0.000272105
          90    -0.52458   -0.528381 0.000272414
          91    -0.52856   -0.528383 0.000269427
          92    -0.52778   -0.528377 0.000266578
          93    -0.52886   -0.528382 0.000263763
          94    -0.53164   -0.528417 0.000263224
          95    -0.53094   -0.528443  0.00026179
          96    -0.52432     -0.5284 0.000262563
          97    -0.52966   -0.528413 0.000260177
          98    -0.52638   -0.528392 0.000258348
          99    -0.51992   -0.528307  0.00026954
         100    -0.52818   -0.528306 0.000266848
