#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.89694    -0.89694           0
           2    -0.89684    -0.89689 3.53553e-05
           3    -0.89544   -0.896407 0.000395343
           4     -0.8824   -0.892905  0.00304699
           5    -0.89182   -0.892688  0.00244531
           6    -0.89686   -0.893383  0.00213433
           7    -0.90054   -0.894406  0.00205979
           8    -0.89312   -0.894245  0.00180858
           9    -0.89508   -0.894338     0.00161
          10    -0.87782   -0.892686  0.00213428
          11    -0.89208   -0.892631  0.00194096
          12    -0.89566   -0.892883  0.00179555
          13    -0.88332   -0.892148  0.00180184
          14     -0.9025   -0.892887  0.00181855
          15    -0.89452   -0.892996  0.00170057
          16    -0.88964   -0.892786  0.00160717
          17    -0.87832   -0.891935  0.00172324
          18    -0.89764   -0.892252   0.0016564
          19    -0.88948   -0.892106  0.00157563
          20    -0.89606   -0.892304   0.0015092
          21    -0.88994   -0.892191  0.00144152
          22    -0.88042   -0.891656  0.00147196
          23     -0.9044    -0.89221  0.00150864
          24    -0.87898   -0.891659  0.00154322
          25    -0.88268     -0.8913  0.00152271
          26    -0.88518   -0.891065  0.00148223
          27     -0.8984   -0.891336  0.00145201
          28     -0.8848   -0.891103   0.0014188
          29      -0.902   -0.891479  0.00141876
          30    -0.90278   -0.891855   0.0014206
          31     -0.8833   -0.891579  0.00140133
          32     -0.8984   -0.891793  0.00137365
          33    -0.87634   -0.891324  0.00140958
          34    -0.88462   -0.891127  0.00138184
          35     -0.8899   -0.891092   0.0013428
          36    -0.89102    -0.89109  0.00130551
          37    -0.88938   -0.891044  0.00127104
          38     -0.8831   -0.890835  0.00125466
          39    -0.88578   -0.890705  0.00122917
          40    -0.88382   -0.890533  0.00121043
          41    -0.87752   -0.890216  0.00122181
          42    -0.89406   -0.890307  0.00119615
          43    -0.90258   -0.890593   0.0012019
          44    -0.89016   -0.890583  0.00117462
          45    -0.90706   -0.890949  0.00120424
          46    -0.90514   -0.891257  0.00121694
          47    -0.88346   -0.891091   0.0012023
          48    -0.88888   -0.891045  0.00117813
          49    -0.89608   -0.891148  0.00115856
          50     -0.9033   -0.891391   0.0011606
          51    -0.90462   -0.891651  0.00116647
          52     -0.8947   -0.891709  0.00114551
          53    -0.89584   -0.891787  0.00112655
          54    -0.88352   -0.891634  0.00111604
          55    -0.88988   -0.891602   0.0010962
          56    -0.88432   -0.891472  0.00108431
          57    -0.89592    -0.89155  0.00106809
          58     -0.8893   -0.891511  0.00105038
          59    -0.89018   -0.891489  0.00103282
          60    -0.88456   -0.891373  0.00102204
          61     -0.8871   -0.891303  0.00100769
          62    -0.89204   -0.891315 0.000991504
          63     -0.8924   -0.891332 0.000975916
          64    -0.89506   -0.891391 0.000962404
          65     -0.8971   -0.891478 0.000951597
          66     -0.8855   -0.891388 0.000941481
          67    -0.88758   -0.891331 0.000929142
          68    -0.88904   -0.891297 0.000916089
          69    -0.88398   -0.891191  0.00090893
          70    -0.89604   -0.891261 0.000898581
          71    -0.88684   -0.891198 0.000888079
          72    -0.89098   -0.891195  0.00087575
          73    -0.88346   -0.891089  0.00087014
          74    -0.89416   -0.891131  0.00085937
          75    -0.89516   -0.891185  0.00084959
          76    -0.88964   -0.891164 0.000838654
          77    -0.88634   -0.891102 0.000830099
          78    -0.90198   -0.891241 0.000831091
          79     -0.8968   -0.891311 0.000823544
          80    -0.88176   -0.891192 0.000821858
          81    -0.89922   -0.891291 0.000817666
          82    -0.90298   -0.891434 0.000820026
          83    -0.89974   -0.891534  0.00081623
          84    -0.89828   -0.891614 0.000810455
          85    -0.90234    -0.89174 0.000810684
          86     -0.8804   -0.891608 0.000811911
          87    -0.88574   -0.891541 0.000805376
          88    -0.88552   -0.891473 0.000799125
          89    -0.89682   -0.891533 0.000792401
          90    -0.88876   -0.891502 0.000784195
          91    -0.88354   -0.891414 0.000780443
          92    -0.88394   -0.891333 0.000776177
          93     -0.9004   -0.891431  0.00077393
          94     -0.8835   -0.891346 0.000770282
          95    -0.90534   -0.891493  0.00077613
          96    -0.90258   -0.891609  0.00077659
          97    -0.90292   -0.891726 0.000777289
          98    -0.88154   -0.891622 0.000776275
          99    -0.87974   -0.891502 0.000777656
         100    -0.89128   -0.891499 0.000769883
