#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.3803     -0.3803           0
           2    -0.38352    -0.38191  0.00113844
           3    -0.37534    -0.37972  0.00194253
           4    -0.38366   -0.380705  0.00168826
           5    -0.37752   -0.380068  0.00146586
           6     -0.3816   -0.380323  0.00124359
           7    -0.37974    -0.38024  0.00106872
           8    -0.37798   -0.379957 0.000971754
           9    -0.37538   -0.379449 0.000987958
          10    -0.37764   -0.379268  0.00090557
          11      -0.379   -0.379244 0.000823573
          12     -0.3792    -0.37924  0.00075495
          13    -0.37714   -0.379078  0.00071395
          14    -0.37634   -0.378883 0.000689229
          15    -0.38008   -0.378963 0.000647884
          16     -0.3768   -0.378827 0.000621331
          17    -0.38152   -0.378986 0.000604632
          18    -0.38272   -0.379193 0.000605585
          19    -0.38102   -0.379289 0.000581294
          20    -0.38236   -0.379443 0.000572144
          21    -0.38498   -0.379707 0.000602598
          22    -0.37782   -0.379621 0.000581277
          23    -0.38246   -0.379744  0.00056896
          24     -0.3789   -0.379709  0.00054634
          25    -0.37868   -0.379668 0.000526035
          26    -0.37644   -0.379544 0.000520248
          27    -0.38066   -0.379585 0.000502619
          28     -0.3793   -0.379575 0.000484772
          29     -0.3808   -0.379617 0.000469892
          30      -0.382   -0.379697 0.000460893
          31     -0.3771   -0.379613 0.000453573
          32    -0.38452   -0.379766 0.000464599
          33    -0.38074   -0.379796 0.000451456
          34    -0.38484   -0.379944 0.000461913
          35     -0.3808   -0.379969 0.000449362
          36    -0.38018   -0.379974 0.000436918
          37    -0.38234   -0.380038 0.000429762
          38     -0.3814   -0.380074 0.000419943
          39    -0.38258   -0.380138 0.000414061
          40     -0.3847   -0.380252  0.00041912
          41    -0.38292   -0.380318 0.000413916
          42      -0.384   -0.380405 0.000413243
          43    -0.37806   -0.380351 0.000407216
          44    -0.37844   -0.380307  0.00040027
          45      -0.382   -0.380345 0.000393138
          46    -0.38064   -0.380351 0.000384644
          47    -0.37902   -0.380323 0.000377502
          48    -0.37476   -0.380207 0.000387019
          49     -0.3824   -0.380252 0.000381699
          50      -0.377   -0.380187 0.000379565
          51    -0.38432   -0.380268 0.000380677
          52    -0.38188   -0.380299 0.000374616
          53    -0.37856   -0.380266 0.000368982
          54    -0.38254   -0.380308 0.000364544
          55     -0.3801   -0.380304 0.000357936
          56    -0.38108   -0.380318 0.000351812
          57    -0.37746   -0.380268 0.000349195
          58    -0.37792   -0.380228 0.000345513
          59    -0.37912   -0.380209 0.000340167
          60    -0.37944   -0.380196 0.000334738
          61    -0.38064   -0.380203  0.00032933
          62    -0.38142   -0.380223 0.000324602
          63    -0.37992   -0.380218 0.000319486
          64    -0.37742   -0.380174 0.000317471
          65    -0.37462   -0.380089 0.000323883
          66     -0.3784   -0.380063 0.000319985
          67    -0.38054    -0.38007 0.000315288
          68    -0.38172   -0.380095 0.000311583
          69    -0.37888   -0.380077 0.000307565
          70    -0.37944   -0.380068 0.000303305
          71    -0.37868   -0.380048 0.000299663
          72    -0.38284   -0.380087 0.000297999
          73     -0.3799   -0.380085 0.000293927
          74    -0.37858   -0.380064 0.000290658
          75    -0.38358   -0.380111 0.000290538
          76    -0.37696    -0.38007 0.000289658
          77     -0.3821   -0.380096 0.000287094
          78    -0.37728    -0.38006 0.000285675
          79    -0.38194   -0.380084 0.000283048
          80    -0.38214   -0.380109 0.000280674
          81    -0.38318   -0.380147 0.000279757
          82    -0.37782   -0.380119 0.000277782
          83    -0.37934    -0.38011 0.000274594
          84    -0.38112   -0.380122 0.000271588
          85    -0.37492    -0.38006 0.000275201
          86     -0.3805   -0.380066 0.000272048
          87    -0.38248   -0.380093 0.000270333
          88    -0.38376   -0.380135 0.000270453
          89    -0.37666   -0.380096 0.000270218
          90    -0.38428   -0.380142 0.000271185
          91    -0.38136   -0.380156 0.000268535
          92     -0.3834   -0.380191 0.000267922
          93    -0.38458   -0.380238 0.000269165
          94     -0.3775   -0.380209 0.000267873
          95    -0.37838    -0.38019 0.000265745
          96    -0.37844   -0.380172 0.000263601
          97    -0.37574   -0.380126 0.000264813
          98     -0.3821   -0.380146 0.000262876
          99    -0.38426   -0.380188 0.000263484
         100    -0.37944    -0.38018 0.000260956
