#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.89912    -0.89912           0
           2    -0.89282    -0.89597  0.00222739
           3    -0.89024    -0.89406  0.00215338
           4    -0.89814    -0.89508  0.00184083
           5    -0.88844   -0.893752  0.00189198
           6    -0.89774   -0.894417  0.00168937
           7    -0.90208   -0.895511  0.00176751
           8    -0.89852   -0.895888  0.00158608
           9    -0.89066   -0.895307  0.00151246
          10     -0.8792   -0.893696   0.0020464
          11    -0.88766   -0.893147  0.00193253
          12     -0.8953   -0.893327  0.00177979
          13    -0.88528   -0.892708  0.00174721
          14    -0.88888   -0.892434  0.00164366
          15    -0.88694   -0.892068  0.00157436
          16     -0.8859   -0.891683  0.00152243
          17    -0.88372   -0.891214   0.0015032
          18    -0.87636   -0.890389  0.00163055
          19     -0.8897   -0.890353  0.00154513
          20    -0.89674   -0.890672  0.00150052
          21    -0.89744   -0.890994  0.00146327
          22    -0.89542   -0.891195  0.00141052
          23    -0.89522    -0.89137     0.00136
          24    -0.89422   -0.891489  0.00130851
          25    -0.89226    -0.89152  0.00125653
          26    -0.88328   -0.891203  0.00124753
          27    -0.88988   -0.891154  0.00120228
          28    -0.90526   -0.891658  0.00126048
          29     -0.9035   -0.892066  0.00128146
          30     -0.8924   -0.892077  0.00123879
          31    -0.88476   -0.891841  0.00122111
          32    -0.89456   -0.891926   0.0011859
          33    -0.88828   -0.891816   0.0011551
          34     -0.8972   -0.891974  0.00113193
          35    -0.88332   -0.891727  0.00112627
          36    -0.89156   -0.891722    0.001095
          37    -0.89066   -0.891694  0.00106578
          38     -0.8886   -0.891612  0.00104084
          39    -0.88694   -0.891492  0.00102102
          40    -0.89402   -0.891556 0.000997447
          41    -0.88838   -0.891478 0.000976122
          42    -0.89938   -0.891666 0.000970843
          43    -0.90038   -0.891869 0.000969184
          44    -0.89148    -0.89186 0.000947197
          45    -0.89532   -0.891937 0.000929264
          46    -0.90202   -0.892156 0.000934558
          47    -0.89066   -0.892124 0.000915216
          48    -0.89896   -0.892267 0.000907161
          49    -0.88936   -0.892207 0.000890585
          50    -0.90702   -0.892504  0.00092073
          51    -0.88612   -0.892378 0.000911145
          52      -0.891   -0.892352 0.000894008
          53    -0.89226    -0.89235 0.000877142
          54    -0.89094   -0.892324 0.000861287
          55     -0.8903   -0.892287 0.000846413
          56    -0.89318   -0.892303 0.000831449
          57    -0.89334   -0.892321 0.000817061
          58    -0.90136   -0.892477   0.0008177
          59    -0.89606   -0.892538 0.000806092
          60    -0.89956   -0.892655 0.000801108
          61    -0.88256    -0.89249 0.000804887
          62    -0.89328   -0.892502 0.000792006
          63    -0.88568   -0.892394 0.000786803
          64    -0.89164   -0.892382 0.000774597
          65     -0.8866   -0.892293 0.000767772
          66    -0.88344   -0.892159 0.000767767
          67    -0.89488     -0.8922 0.000757381
          68    -0.88378   -0.892076 0.000756297
          69    -0.88924   -0.892035 0.000746452
          70     -0.8911   -0.892021 0.000735908
          71    -0.88774   -0.891961 0.000728009
          72    -0.89466   -0.891999 0.000718862
          73    -0.88914   -0.891959 0.000710081
          74    -0.89702   -0.892028  0.00070377
          75    -0.89056   -0.892008 0.000694659
          76    -0.89118   -0.891997 0.000685604
          77    -0.88602    -0.89192 0.000681081
          78    -0.89488   -0.891958 0.000673405
          79    -0.88772   -0.891904 0.000667014
          80    -0.89698   -0.891968 0.000661688
          81    -0.88144   -0.891838 0.000666161
          82    -0.88196   -0.891717 0.000668839
          83    -0.89704   -0.891781 0.000663848
          84    -0.87896   -0.891629 0.000673263
          85    -0.89754   -0.891698 0.000668925
          86    -0.88514   -0.891622 0.000665479
          87    -0.88272    -0.89152  0.00066565
          88    -0.89046   -0.891508 0.000658194
          89    -0.90888   -0.891703 0.000679127
          90    -0.90326   -0.891831 0.000683614
          91    -0.90418   -0.891967 0.000689439
          92    -0.90246   -0.892081 0.000691315
          93    -0.88622   -0.892018 0.000686748
          94    -0.89654   -0.892066 0.000681125
          95    -0.90506   -0.892203 0.000687552
          96    -0.88902    -0.89217 0.000681189
          97    -0.88948   -0.892142  0.00067473
          98    -0.89438   -0.892165 0.000668232
          99    -0.88796   -0.892122  0.00066283
         100    -0.90104   -0.892211 0.000662174
