#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00241303  0.00241303           0
           2  0.00248816   0.0024506 2.65609e-05
           3  0.00240307  0.00243475  2.1928e-05
           4  0.00241128  0.00242889 1.72136e-05
           5   0.0024535  0.00243381 1.44579e-05
           6  0.00239402  0.00242718 1.34833e-05
           7  0.00237202   0.0024193 1.36666e-05
           8  0.00233455   0.0024087 1.55309e-05
           9   0.0024382  0.00241198 1.41469e-05
          10  0.00243933  0.00241472 1.29939e-05
          11  0.00242293  0.00241546  1.1834e-05
          12  0.00244141  0.00241763 1.10436e-05
          13  0.00245726  0.00242067 1.06065e-05
          14  0.00236223   0.0024165 1.06387e-05
          15  0.00232658  0.00241051  1.1495e-05
          16  0.00245507  0.00241329 1.11088e-05
          17  0.00243183  0.00241438 1.05087e-05
          18  0.00236847  0.00241183 1.02297e-05
          19  0.00234738  0.00240844 1.02384e-05
          20  0.00236592  0.00240631 9.94473e-06
          21  0.00241198  0.00240658 9.47483e-06
          22   0.0023075  0.00240208 1.00577e-05
          23  0.00232068  0.00239854 1.02242e-05
          24  0.00247735  0.00240182 1.03121e-05
          25  0.00241792  0.00240247 9.91965e-06
          26  0.00234413  0.00240022 9.78863e-06
          27  0.00237101  0.00239914 9.48569e-06
          28  0.00236537  0.00239794 9.22328e-06
          29  0.00247335  0.00240054 9.26463e-06
          30  0.00239848  0.00240047 8.95606e-06
          31   0.0022679  0.00239619 9.63418e-06
          32  0.00240647  0.00239651 9.33847e-06
          33  0.00241069  0.00239694 9.06536e-06
          34  0.00237258  0.00239623 8.82699e-06
          35  0.00235756  0.00239512 8.64366e-06
          36  0.00242812  0.00239604 8.45201e-06
          37  0.00244748  0.00239743 8.33716e-06
          38  0.00248004   0.0023996 8.39643e-06
          39  0.00233156  0.00239786 8.36043e-06
          40  0.00237405  0.00239726 8.17257e-06
          41  0.00233899  0.00239584  8.0959e-06
          42   0.0023992  0.00239592 7.90353e-06
          43  0.00243429  0.00239681 7.76994e-06
          44  0.00230473  0.00239472 7.87016e-06
          45  0.00248652  0.00239676 7.95524e-06
          46    0.002482  0.00239861  7.9952e-06
          47  0.00245214  0.00239975 7.90578e-06
          48  0.00241551  0.00240008 7.74788e-06
          49  0.00244694  0.00240104 7.64856e-06
          50  0.00241727  0.00240136 7.50247e-06
          51  0.00243912   0.0024021 7.39181e-06
          52  0.00241508  0.00240235 7.25387e-06
          53  0.00236453  0.00240164 7.15202e-06
          54  0.00240925  0.00240178 7.02097e-06
          55  0.00236172  0.00240105 6.93098e-06
          56  0.00244912  0.00240191 6.86017e-06
          57  0.00236087  0.00240119  6.7775e-06
          58  0.00237297   0.0024007 6.67809e-06
          59  0.00240303  0.00240074 6.56501e-06
          60  0.00234696  0.00239984 6.51649e-06
          61  0.00249584  0.00240142 6.59695e-06
          62  0.00240646   0.0024015 6.49105e-06
          63  0.00244125  0.00240213 6.41861e-06
          64  0.00237677  0.00240173 6.33054e-06
          65  0.00246011  0.00240263 6.29654e-06
          66    0.002378  0.00240226 6.21219e-06
          67  0.00239509  0.00240215 6.12039e-06
          68  0.00240347  0.00240217 6.03041e-06
          69  0.00239811  0.00240211  5.9433e-06
          70  0.00238034   0.0024018 5.86653e-06
          71  0.00242776  0.00240217 5.79529e-06
          72  0.00231894  0.00240101 5.82894e-06
          73  0.00236838  0.00240056 5.76621e-06
          74  0.00245443  0.00240129 5.73404e-06
          75  0.00252667  0.00240296 5.89624e-06
          76  0.00233995  0.00240213 5.87668e-06
          77  0.00236451  0.00240165 5.82063e-06
          78  0.00242708  0.00240197 5.75514e-06
          79  0.00235237  0.00240134 5.71644e-06
          80  0.00245987  0.00240208 5.69161e-06
          81  0.00239063  0.00240193  5.6231e-06
          82  0.00241572   0.0024021 5.55704e-06
          83  0.00248299  0.00240308 5.57488e-06
          84  0.00249001  0.00240411 5.60374e-06
          85  0.00244888  0.00240464 5.56251e-06
          86  0.00239039  0.00240447  5.5003e-06
          87  0.00245691  0.00240508    5.47e-06
          88  0.00243741  0.00240544 5.42016e-06
          89  0.00243637  0.00240579 5.37039e-06
          90  0.00234142  0.00240508 5.35813e-06
          91  0.00238693  0.00240488 5.30296e-06
          92  0.00238327  0.00240464 5.25052e-06
          93  0.00238269  0.00240441 5.19937e-06
          94   0.0024652  0.00240505 5.18412e-06
          95  0.00242519  0.00240526 5.13389e-06
          96  0.00233589  0.00240454 5.13101e-06
          97  0.00235509  0.00240403 5.10337e-06
          98  0.00231367  0.00240311 5.13391e-06
          99  0.00236684  0.00240274 5.09511e-06
         100  0.00246485  0.00240336 5.08187e-06
