#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00650931  0.00650931           0
           2  0.00864956  0.00757943 0.000756694
           3  0.00775616  0.00763834 0.000506751
           4  0.00761536   0.0076326 0.000380096
           5  0.00653592  0.00741326 0.000361868
           6  0.00878642  0.00764212 0.000366857
           7  0.00812523  0.00771114 0.000320875
           8   0.0062966  0.00753432 0.000325861
           9  0.00698029  0.00747276 0.000295412
          10  0.00775676  0.00750116 0.000267232
          11  0.00879225  0.00761853 0.000267475
          12    0.004152  0.00732966 0.000369611
          13   0.0071647  0.00731697 0.000341397
          14  0.00554567  0.00719045 0.000339648
          15  0.00791597  0.00723881  0.00032043
          16  0.00378214  0.00702277 0.000366059
          17  0.00662169  0.00699918 0.000345285
          18  0.00824319  0.00706829 0.000332948
          19  0.00566256   0.0069943  0.00032354
          20  0.00781511  0.00703534 0.000309955
          21  0.00707935  0.00703744 0.000295202
          22  0.00872704  0.00711424 0.000291603
          23  0.00633129   0.0070802 0.000280905
          24  0.00827539     0.00713 0.000273579
          25  0.00734492   0.0071386 0.000262771
          26  0.00763699  0.00715776 0.000253363
          27  0.00744952  0.00716857 0.000244209
          28  0.00626624  0.00713634 0.000237604
          29  0.00474076  0.00705374 0.000243347
          30  0.00620797  0.00702555 0.000236863
          31  0.00883761    0.007084 0.000236325
          32  0.00394008  0.00698575 0.000248524
          33  0.00410593  0.00689848 0.000255857
          34  0.00660742  0.00688992 0.000248475
          35   0.0105798  0.00699535 0.000262791
          36  0.00688127  0.00699218  0.00025551
          37  0.00699437  0.00699224 0.000248605
          38  0.00490864  0.00693741 0.000248036
          39  0.00421216  0.00686753 0.000251326
          40  0.00469183  0.00681314  0.00025086
          41   0.0056448  0.00678464 0.000246355
          42   0.0065248  0.00677846 0.000240567
          43  0.00349571  0.00670211 0.000246789
          44  0.00825596  0.00673743 0.000243693
          45  0.00615366  0.00672445 0.000238623
          46  0.00578298  0.00670399 0.000234312
          47  0.00619459  0.00669315 0.000229577
          48  0.00142844  0.00658347 0.000249623
          49  0.00562418  0.00656389 0.000245295
          50  0.00754521  0.00658352 0.000241173
          51  0.00408875   0.0065346 0.000241354
          52  0.00846556  0.00657173 0.000239552
          53  0.00667964  0.00657377 0.000235041
          54  0.00583917  0.00656017 0.000231082
          55  0.00695757  0.00656739 0.000226993
          56  0.00738509  0.00658199 0.000223409
          57  0.00710204  0.00659112 0.000219676
          58  0.00553875  0.00657297 0.000216636
          59  0.00717169  0.00658312 0.000213202
          60  0.00628375  0.00657813 0.000209707
          61   0.0068575  0.00658271 0.000206319
          62  0.00635075  0.00657897 0.000203026
          63   0.0063872  0.00657593 0.000199826
          64  0.00804708  0.00659891 0.000198021
          65   0.0058694  0.00658769 0.000195292
          66  0.00710492  0.00659553 0.000192491
          67   0.0045422  0.00656488 0.000192042
          68  0.00722981  0.00657466 0.000189466
          69  0.00595359  0.00656566 0.000186934
          70  0.00660653  0.00656624 0.000184265
          71  0.00789412  0.00658494 0.000182616
          72  0.00596457  0.00657633 0.000180283
          73  0.00640511  0.00657398 0.000177828
          74  0.00737568  0.00658481 0.000175755
          75  0.00491927  0.00656261 0.000174809
          76  0.00535744  0.00654675 0.000173227
          77  0.00758897  0.00656029 0.000171505
          78  0.00602893  0.00655347 0.000169441
          79  0.00391922  0.00652013 0.000170546
          80  0.00650096  0.00651989 0.000168414
          81  0.00639738  0.00651838 0.000166342
          82  0.00682034  0.00652206 0.000164354
          83  0.00582441  0.00651365 0.000162589
          84  0.00600826  0.00650764 0.000160765
          85  0.00444559  0.00648338 0.000160693
          86   0.0116271  0.00654319 0.000169591
          87  0.00368626  0.00651035 0.000170791
          88  0.00516243  0.00649503 0.000169536
          89  0.00785677  0.00651033  0.00016832
          90  0.00282547  0.00646939 0.000171357
          91  0.00686326  0.00647372 0.000169529
          92  0.00851417   0.0064959  0.00016913
          93  0.00834273  0.00651576 0.000168474
          94  0.00435453  0.00649276 0.000168243
          95  0.00606635  0.00648828 0.000166532
          96  0.00637084  0.00648705 0.000164802
          97   0.0075928  0.00649845 0.000163496
          98  0.00400668  0.00647303 0.000163793
          99  0.00199193  0.00642776 0.000168277
         100  0.00785142    0.006442 0.000167195
