#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00323011  0.00323011           0
           2  0.00324327  0.00323669 4.65127e-06
           3  0.00309288  0.00318875 3.92632e-05
           4  0.00303691  0.00315079 4.41346e-05
           5  0.00305172  0.00313098 3.95059e-05
           6  0.00317577  0.00313844 3.36196e-05
           7  0.00320008  0.00314725 2.99476e-05
           8  0.00317283  0.00315045 2.63743e-05
           9  0.00310289  0.00314516 2.39673e-05
          10  0.00315715  0.00314636 2.16005e-05
          11  0.00304572  0.00313721 2.14873e-05
          12  0.00319619  0.00314213 2.02509e-05
          13  0.00309436  0.00313845 1.90235e-05
          14  0.00316177  0.00314012 1.77375e-05
          15  0.00321534  0.00314513 1.72493e-05
          16  0.00307285  0.00314062 1.67524e-05
          17  0.00311216  0.00313894 1.58504e-05
          18  0.00304717  0.00313384 1.57685e-05
          19  0.00308558   0.0031313 1.51418e-05
          20  0.00311749  0.00313061 1.44005e-05
          21   0.0031324   0.0031307  1.3715e-05
          22    0.003134  0.00313085 1.30924e-05
          23  0.00313895   0.0031312 1.25279e-05
          24   0.0031577   0.0031323 1.20545e-05
          25  0.00310218   0.0031311 1.16324e-05
          26  0.00328081  0.00313686 1.25293e-05
          27  0.00319561  0.00313903 1.22528e-05
          28  0.00315149  0.00313948 1.18233e-05
          29  0.00311916  0.00313878 1.14363e-05
          30  0.00304362  0.00313561 1.14865e-05
          31  0.00307976   0.0031338 1.12564e-05
          32  0.00326699  0.00313797 1.16487e-05
          33  0.00321527  0.00314031 1.15289e-05
          34   0.0030087  0.00313644 1.18218e-05
          35  0.00314799  0.00313677 1.14886e-05
          36  0.00328671  0.00314093 1.19006e-05
          37  0.00315613  0.00314134  1.1586e-05
          38  0.00318955  0.00314261 1.13504e-05
          39  0.00338354  0.00314879 1.26291e-05
          40  0.00313928  0.00314855 1.23156e-05
          41  0.00308253  0.00314694   1.212e-05
          42  0.00310542  0.00314595 1.18717e-05
          43  0.00302041  0.00314303 1.19493e-05
          44  0.00320346  0.00314441 1.17563e-05
          45  0.00309172  0.00314324 1.15532e-05
          46  0.00321035  0.00314469 1.13938e-05
          47  0.00315711  0.00314496 1.11545e-05
          48  0.00324434  0.00314703 1.11125e-05
          49   0.0033505  0.00315118 1.16357e-05
          50  0.00321972  0.00315255 1.14835e-05
          51  0.00312821  0.00315208 1.12682e-05
          52  0.00302069  0.00314955 1.13313e-05
          53   0.0030983  0.00314858 1.11587e-05
          54  0.00309882  0.00314766   1.099e-05
          55  0.00313534  0.00314744 1.07925e-05
          56  0.00317482  0.00314792 1.06108e-05
          57  0.00304682  0.00314615 1.05719e-05
          58  0.00314542  0.00314614 1.03896e-05
          59   0.0030592  0.00314467 1.03175e-05
          60  0.00318157  0.00314528 1.01638e-05
          61   0.0031613  0.00314554 1.00006e-05
          62  0.00323278  0.00314695 9.93779e-06
          63  0.00314991    0.003147 9.78016e-06
          64  0.00314003  0.00314689 9.62795e-06
          65  0.00316809  0.00314721 9.48535e-06
          66  0.00317699  0.00314767 9.35235e-06
          67  0.00322988  0.00314889 9.29291e-06
          68  0.00320016  0.00314965 9.18678e-06
          69  0.00312789  0.00314933 9.05904e-06
          70  0.00314049   0.0031492 8.93051e-06
          71  0.00316565  0.00314944 8.80773e-06
          72  0.00308469  0.00314854 8.73119e-06
          73  0.00310056  0.00314788 8.63628e-06
          74  0.00313133  0.00314766 8.52247e-06
          75  0.00307294  0.00314666 8.46687e-06
          76  0.00305828   0.0031455 8.43495e-06
          77  0.00318981  0.00314607 8.34501e-06
          78  0.00305205  0.00314487 8.32463e-06
          79  0.00309664  0.00314426  8.2416e-06
          80   0.0031839  0.00314475 8.15347e-06
          81  0.00307648  0.00314391 8.09626e-06
          82  0.00309677  0.00314333  8.0179e-06
          83  0.00301944  0.00314184 8.05905e-06
          84   0.0030778  0.00314108 7.99909e-06
          85  0.00307436  0.00314029 7.94341e-06
          86  0.00312334   0.0031401 7.85349e-06
          87  0.00303046  0.00313884 7.86367e-06
          88  0.00316768  0.00313916 7.78114e-06
          89  0.00324804  0.00314039 7.78927e-06
          90  0.00311831  0.00314014 7.70659e-06
          91  0.00322467  0.00314107 7.67767e-06
          92  0.00324249  0.00314217 7.67296e-06
          93  0.00309484  0.00314166 7.60732e-06
          94  0.00320769  0.00314237 7.55874e-06
          95  0.00299514  0.00314082  7.6364e-06
          96  0.00324133  0.00314186 7.62829e-06
          97  0.00312597   0.0031417 7.55141e-06
          98  0.00310949  0.00314137 7.48151e-06
          99  0.00310011  0.00314096 7.41754e-06
         100  0.00316948  0.00314124 7.34885e-06
