#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1  0.00292719  0.00292719           0
           2  0.00329239  0.00310979 0.000129118
           3  0.00448694  0.00356884 0.000384569
           4   0.0029356  0.00341053 0.000319354
           5  0.00216775  0.00316197 0.000338667
           6 0.000812777  0.00277044 0.000455409
           7  0.00483438  0.00306529  0.00047633
           8  0.00448775   0.0032431  0.00044875
           9  0.00017919  0.00290266 0.000511987
          10  0.00021879  0.00263427 0.000526454
          11  0.00175536  0.00255437  0.00048462
          12  0.00023856  0.00236139 0.000481128
          13  0.00365588  0.00246097 0.000454306
          14  0.00023856  0.00230222 0.000448733
          15  0.00080319  0.00220229 0.000429802
          16  0.00535494  0.00239933 0.000445823
          17  0.00331694   0.0024533 0.000422853
          18  0.00015936  0.00232586 0.000418125
          19  0.00157276  0.00228623 0.000397993
          20 0.000268177  0.00218532 0.000390675
          21  0.00198975  0.00217601 0.000372182
          22  0.00025831  0.00208884  0.00036533
          23 0.000386197  0.00201481 0.000356867
          24 0.000444937   0.0019494 0.000347941
          25 0.000228677  0.00188057 0.000340763
          26  0.00170079  0.00187366 0.000327727
          27  0.00017919   0.0018109 0.000321542
          28  0.00132308  0.00179348  0.00031053
          29  0.00223839  0.00180882 0.000300201
          30  0.00029775  0.00175845 0.000294389
          31 0.000639437  0.00172235 0.000287097
          32    0.000396  0.00168091 0.000281102
          33   0.0031193  0.00172449 0.000275942
          34   7.984e-05  0.00167612 0.000272033
          35   0.0033659   0.0017244 0.000268511
          36  0.00124968  0.00171121 0.000261375
          37   0.0010603  0.00169362 0.000254903
          38 0.000268177  0.00165611  0.00025094
          39 8.97975e-05  0.00161595 0.000247698
          40  0.00099399   0.0016004 0.000241993
          41  0.00194494   0.0016088 0.000236237
          42  0.00594199  0.00171197 0.000252137
          43  0.00140816  0.00170491 0.000246372
          44  0.00229116  0.00171823 0.000241133
          45  0.00136959  0.00171048 0.000235899
          46  0.00276096  0.00173332 0.000231873
          47  0.00162838  0.00173109  0.00022695
          48  0.00139744  0.00172414 0.000222329
          49  0.00109808  0.00171136 0.000218158
          50  0.00475824   0.0017723 0.000222143
          51 0.000678097  0.00175084 0.000218821
          52  0.00066844  0.00173003   0.0002156
          53  0.00112636  0.00171864 0.000211833
          54  0.00149916  0.00171457 0.000207949
          55  0.00340656  0.00174534 0.000206431
          56  0.00131376  0.00173763 0.000202889
          57 0.000716677  0.00171972 0.000200118
          58 0.000483997  0.00169841 0.000197799
          59  0.00076479  0.00168259 0.000195078
          60  0.00105084  0.00167206 0.000192111
          61 0.000109697  0.00164645 0.000190661
          62  0.00245616  0.00165951 0.000188033
          63  0.00580244  0.00172527 0.000196211
          64  0.00051324  0.00170633 0.000194057
          65 0.000697397  0.00169081 0.000191691
          66  0.00049375  0.00167267 0.000189643
          67    0.000199  0.00165068 0.000188084
          68 0.000405797  0.00163237 0.000186206
          69  0.00273244  0.00164831 0.000184189
          70  0.00280048  0.00166477 0.000182292
          71    0.001536  0.00166296 0.000179733
          72  0.00035676  0.00164482  0.00017815
          73 0.000327277  0.00162677 0.000176622
          74  0.00064911  0.00161356 0.000174728
          75  0.00055216   0.0015994 0.000172971
          76  0.00158194  0.00159917 0.000170695
          77  0.00537751  0.00164824 0.000175389
          78  0.00127644  0.00164348 0.000173205
          79   0.0021589     0.00165 0.000171136
          80 0.000639437  0.00163737 0.000169462
          81  0.00169168  0.00163804 0.000167371
          82  0.00045471  0.00162361 0.000165951
          83  0.00441991   0.0016573 0.000167337
          84 0.000169277  0.00163958  0.00016628
          85  0.00182784   0.0016418 0.000164338
          86  0.00119218  0.00163657  0.00016251
          87  0.00630944  0.00169028 0.000169286
          88  0.00051324  0.00167691  0.00016789
          89  0.00372736  0.00169995 0.000167577
          90  0.00362398  0.00172132 0.000167073
          91   0.0026325  0.00173134 0.000165537
          92  0.00100348  0.00172342 0.000163926
          93   0.0018007  0.00172426 0.000162166
          94 0.000189097  0.00170792 0.000161261
          95 0.000129577  0.00169131 0.000160417
          96  0.00013951  0.00167515 0.000159558
          97  0.00104138  0.00166861 0.000158047
          98   0.0013417  0.00166528 0.000156469
          99  0.00173916  0.00166602 0.000154891
         100  0.00031744  0.00165254 0.000153928
