#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.05516         0.05516               0
               2          0.0639         0.05953      0.00309006
               3         0.04364       0.0542333      0.00479029
               4          0.0379         0.05015      0.00504111
               5         0.03619        0.047358      0.00474346
               6         0.02018       0.0428283      0.00572045
               7         0.04843       0.0436286       0.0049589
               8         0.06199       0.0459237      0.00484114
               9         0.05146       0.0465389      0.00434214
              10         0.04775         0.04666      0.00390961
              11         0.07486       0.0492236      0.00431359
              12         0.05224        0.049475      0.00396144
              13         0.04513       0.0491408      0.00367079
              14          0.0549       0.0495521      0.00343156
              15         0.01887       0.0475067      0.00376336
              16         0.03366       0.0466412      0.00362629
              17         0.03134       0.0457412      0.00352291
              18         0.03777       0.0452983      0.00335491
              19         0.05274         0.04569      0.00320112
              20         0.05202       0.0460065      0.00305667
              21           0.053       0.0463395       0.0029292
              22         0.02482       0.0453614      0.00295487
              23         0.05132       0.0456204      0.00283773
              24         0.06477       0.0464183      0.00282944
              25         0.03292       0.0458784       0.0027673
              26         0.04314       0.0457731      0.00266287
              27         0.03029       0.0451996      0.00262526
              28         0.04228       0.0450954      0.00253357
              29          0.0356       0.0447679      0.00246728
              30         0.03263       0.0443633      0.00241798
              31         0.02944       0.0438819      0.00238742
              32         0.04276       0.0438469      0.00231307
              33         0.03888       0.0436964      0.00224787
              34         0.04507       0.0437368      0.00218212
              35         0.04622       0.0438077      0.00212093
              36          0.0564       0.0441575      0.00209066
              37         0.07042       0.0448673      0.00215127
              38         0.05818       0.0452176      0.00212299
              39         0.04481       0.0452072      0.00206858
              40         0.03932         0.04506       0.0020221
              41         0.04659       0.0450973      0.00197312
              42         0.04564       0.0451102      0.00192619
              43          0.0533       0.0453007      0.00189078
              44         0.04547       0.0453045      0.00184782
              45          0.0581       0.0455889       0.0018285
              46         0.05763       0.0458507      0.00180739
              47         0.02472       0.0454011      0.00182399
              48         0.03289       0.0451404      0.00180452
              49         0.04629       0.0451639      0.00176785
              50         0.04336       0.0451278      0.00173286
              51          0.0168       0.0445724      0.00178568
              52         0.03656       0.0444183      0.00175798
              53         0.04862       0.0444975       0.0017266
              54         0.02894       0.0442094      0.00171849
              55         0.03746       0.0440867      0.00169162
              56         0.02931       0.0438229      0.00168187
              57         0.06158       0.0441344      0.00168097
              58         0.02612       0.0438238      0.00168043
              59         0.04114       0.0437783      0.00165257
              60         0.04107       0.0437332      0.00162564
              61         0.05517       0.0439207      0.00160977
              62         0.05706       0.0441326      0.00159769
              63         0.03327       0.0439602      0.00158161
              64         0.03658       0.0438448      0.00156109
              65         0.06237       0.0441298      0.00156288
              66         0.05596       0.0443091      0.00154944
              67         0.04796       0.0443636      0.00152727
              68         0.07222       0.0447732      0.00155878
              69          0.0454       0.0447823      0.00153622
              70         0.04051       0.0447213      0.00151549
              71         0.01535       0.0443076      0.00154957
              72          0.0656       0.0446033      0.00155601
              73         0.02145       0.0442862      0.00156669
              74         0.02632       0.0440434      0.00156422
              75         0.04223       0.0440192      0.00154355
              76         0.08142       0.0445113      0.00159977
              77          0.0546       0.0446423      0.00158435
              78         0.03619        0.044534      0.00156773
              79         0.03667       0.0444344      0.00155105
              80         0.05803       0.0446044      0.00154094
              81         0.03516       0.0444878      0.00152632
              82         0.04453       0.0444883      0.00150771
              83         0.04676       0.0445157      0.00148979
              84         0.04291       0.0444965      0.00147218
              85         0.05851       0.0446614      0.00146406
              86         0.03599       0.0445606       0.0014505
              87         0.05151       0.0446405      0.00143603
              88         0.06021       0.0448174      0.00143057
              89         0.04786       0.0448516       0.0014149
              90         0.03887       0.0447851      0.00140074
              91         0.05088       0.0448521      0.00138695
              92         0.04576        0.044862      0.00137191
              93         0.04835       0.0448995      0.00135767
              94         0.05791       0.0450379      0.00135026
              95         0.02033       0.0447778      0.00136087
              96         0.03725       0.0446994      0.00134895
              97          0.0503       0.0447571      0.00133628
              98         0.03727       0.0446807      0.00132483
              99         0.03035        0.044536      0.00131933
             100         0.02444        0.044335      0.00132135
