#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.46297         0.46297               0
               2         0.19218        0.327575       0.0957387
               3         0.55585        0.403667       0.0890713
               4         0.54963        0.440158       0.0739012
               5         0.45695        0.443516       0.0591972
               6         0.40772         0.43755       0.0496308
               7         0.39888        0.432026        0.042847
               8         0.66968        0.461733       0.0466665
               9         0.43283        0.458521       0.0415917
              10         0.43748        0.456417       0.0374857
              11          0.6752        0.476306       0.0389991
              12         0.60482        0.487016       0.0371906
              13          0.5274        0.490122       0.0344593
              14         0.55869         0.49502       0.0323441
              15         0.12458        0.470324       0.0384777
              16         0.62323        0.479881       0.0372407
              17         0.36656        0.473215       0.0356417
              18         0.42339        0.470447       0.0337689
              19         0.43141        0.468392       0.0320541
              20         0.43408        0.466677       0.0304972
              21         0.54058        0.470196       0.0292473
              22         0.27293        0.461229       0.0292601
              23         0.52716        0.464096        0.028128
              24         0.44162        0.463159       0.0269716
              25         0.52739        0.465728       0.0260148
              26         0.49286        0.466772       0.0250352
              27         0.42282        0.465144       0.0241608
              28         0.52651        0.467336       0.0233971
              29         0.38287        0.464423       0.0227709
              30         0.49863        0.465563       0.0220404
              31         0.44547        0.464915       0.0213389
              32          0.4689         0.46504       0.0206724
              33         0.46574        0.465061        0.020046
              34         0.27386        0.459437       0.0202299
              35         0.62591        0.464194       0.0202033
              36         0.41107        0.462718       0.0196959
              37         0.41634        0.461465       0.0192034
              38         0.51722        0.462932        0.018754
              39         0.59049        0.466203       0.0185562
              40           0.549        0.468273       0.0182074
              41         0.60488        0.471604       0.0180656
              42         0.39443        0.469767       0.0177286
              43          0.2985        0.465784       0.0177581
              44         0.48556        0.466233       0.0173602
              45         0.36718        0.464032       0.0171134
              46         0.38747        0.462368       0.0168221
              47         0.34833        0.459941       0.0166383
              48         0.37988        0.458274        0.016375
              49         0.42399        0.457574       0.0160558
              50         0.40101        0.456443       0.0157745
              51         0.48823        0.457066       0.0154775
              52         0.47282        0.457369       0.0151828
              53         0.45466        0.457318       0.0148964
              54          0.3494        0.455319        0.014754
              55         0.55569        0.457144       0.0145982
              56         0.49858        0.457884       0.0143562
              57         0.62693         0.46085       0.0144074
              58         0.34914        0.458924       0.0142872
              59         0.39197        0.457789         0.01409
              60          0.6019        0.460191       0.0140584
              61         0.48357        0.460574       0.0138332
              62         0.36066        0.458963       0.0137036
              63         0.50965        0.459767       0.0135097
              64         0.42052        0.459154       0.0133125
              65         0.48025        0.459478       0.0131117
              66         0.39152        0.458449       0.0129534
              67         0.56764        0.460079       0.0128621
              68          0.4687        0.460205       0.0126736
              69         0.45824        0.460177         0.01249
              70         0.39644        0.459266       0.0123447
              71          0.4827        0.459596       0.0121752
              72         0.45187        0.459489       0.0120066
              73         0.50475        0.460109       0.0118581
              74         0.43265        0.459738       0.0117037
              75         0.30313         0.45765       0.0117324
              76         0.42789        0.457258       0.0115846
              77         0.48286        0.457591       0.0114389
              78         0.31056        0.455706       0.0114465
              79         0.46538        0.455828       0.0113023
              80         0.30239         0.45391       0.0113226
              81         0.27716        0.451728       0.0113911
              82         0.33044        0.450249       0.0113478
              83         0.32516        0.448742       0.0113107
              84          0.5931         0.45046       0.0113059
              85         0.45855        0.450556       0.0111733
              86         0.39002        0.449852       0.0110655
              87         0.53463        0.450826       0.0109811
              88         0.40308        0.450284       0.0108698
              89         0.33522        0.448991       0.0108242
              90         0.37712        0.448192       0.0107334
              91         0.44693        0.448178       0.0106154
              92         0.48645        0.448594       0.0105082
              93          0.2946        0.446938       0.0105249
              94         0.49751        0.447476       0.0104266
              95         0.21394        0.445018       0.0106027
              96         0.54634        0.446074       0.0105447
              97         0.23356        0.443883       0.0106611
              98         0.45037        0.443949       0.0105526
              99          0.4288        0.443796       0.0104471
             100         0.48365        0.444195       0.0103502
