#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.05275         0.05275               0
               2         0.05378        0.053265      0.00036416
               3          0.0499       0.0521433     0.000947468
               4         0.03894       0.0488425       0.0029456
               5         0.06042        0.051158      0.00313723
               6         0.03115       0.0478233      0.00401267
               7         0.03443         0.04591       0.0038688
               8         0.03934       0.0450888      0.00347127
               9         0.03426       0.0438856      0.00328749
              10         0.05688        0.045185      0.00320528
              11         0.05012       0.0456336      0.00294512
              12         0.02864       0.0442175      0.00302104
              13         0.03001       0.0431246      0.00297978
              14         0.04449       0.0432221      0.00276854
              15          0.0752        0.045354      0.00330435
              16         0.04291       0.0452013      0.00310135
              17           0.055       0.0457776        0.002972
              18         0.05471       0.0462739      0.00284802
              19         0.05169       0.0465589      0.00271235
              20         0.04763       0.0466125      0.00257726
              21         0.06121       0.0473076      0.00254655
              22         0.03967       0.0469605      0.00245435
              23         0.03921       0.0466235      0.00237066
              24         0.03431       0.0461104      0.00232674
              25         0.05345        0.046404      0.00225211
              26         0.04401       0.0463119      0.00216738
              27         0.01315       0.0450837      0.00241011
              28         0.03542       0.0447386      0.00234862
              29         0.03375       0.0443597        0.002298
              30         0.04486       0.0443763      0.00222146
              31         0.04572       0.0444197      0.00215022
              32         0.03848       0.0442341      0.00209102
              33         0.03471       0.0439455      0.00204748
              34         0.08046       0.0450194      0.00225137
              35         0.04186       0.0449291      0.00218885
              36         0.04567       0.0449497      0.00212815
              37         0.07006       0.0456284      0.00217615
              38         0.01559       0.0448379      0.00225789
              39         0.03289       0.0445315      0.00222069
              40         0.04246       0.0444797      0.00216577
              41         0.02677       0.0440478      0.00215559
              42         0.02346       0.0435576      0.00215928
              43         0.05089       0.0437281      0.00211579
              44         0.04092       0.0436643      0.00206867
              45         0.04397       0.0436711      0.00202271
              46         0.04523        0.043705      0.00197902
              47         0.04358       0.0437023      0.00193691
              48         0.04924       0.0438177          0.0019
              49         0.04959       0.0439355      0.00186487
              50         0.02723       0.0436014      0.00185726
              51         0.02989       0.0433325       0.0018402
              52         0.05334        0.043525      0.00181485
              53         0.06447       0.0439202      0.00182312
              54         0.02677       0.0436026      0.00181681
              55           0.026       0.0432825      0.00181175
              56         0.02792       0.0430082      0.00180005
              57         0.03544       0.0428754      0.00177336
              58         0.03587       0.0427547      0.00174689
              59         0.03748       0.0426653      0.00171957
              60         0.05979       0.0429507      0.00171443
              61          0.0468       0.0430138      0.00168749
              62           0.034       0.0428684      0.00166652
              63         0.04436       0.0428921      0.00164024
              64         0.03992       0.0428456      0.00161527
              65         0.03859       0.0427802      0.00159174
              66         0.04156       0.0427617      0.00156773
              67         0.03152       0.0425939      0.00155328
              68         0.04149       0.0425776      0.00153053
              69         0.02058       0.0422588      0.00154119
              70         0.03327       0.0421304      0.00152451
              71          0.0388       0.0420835      0.00150376
              72         0.06005       0.0423331      0.00150344
              73         0.03834       0.0422784      0.00148384
              74         0.03484       0.0421778      0.00146719
              75         0.03756       0.0421163      0.00144892
              76         0.05824       0.0423284       0.0014453
              77         0.03002       0.0421686      0.00143534
              78         0.03097        0.042025       0.0014241
              79         0.06292       0.0422895      0.00143043
              80         0.04254       0.0422926      0.00141255
              81         0.03635       0.0422193      0.00139702
              82          0.0406       0.0421995      0.00138012
              83         0.04133        0.042189      0.00136353
              84         0.03535       0.0421076      0.00134973
              85         0.05312       0.0422372      0.00134005
              86         0.03812       0.0421893      0.00132532
              87         0.05915       0.0423843      0.00132435
              88         0.04509        0.042415      0.00130966
              89         0.04053       0.0423938      0.00129511
              90         0.05387       0.0425213      0.00128699
              91         0.05581       0.0426674       0.0012811
              92         0.04858       0.0427316      0.00126879
              93         0.03659       0.0426656      0.00125686
              94           0.027       0.0424989      0.00125449
              95         0.04643       0.0425403      0.00124197
              96         0.03583       0.0424704        0.001231
              97         0.04087       0.0424539      0.00121842
              98         0.03925       0.0424212      0.00120642
              99         0.04451       0.0424423      0.00119442
             100         0.03931        0.042411      0.00118289
