#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               1         0.25412         0.25412               0
               2         0.34844         0.30128       0.0333472
               3         0.24752         0.28336       0.0266143
               4         0.39367        0.310938       0.0311259
               5         0.25886        0.300522       0.0265863
               6         0.28993        0.298757       0.0222138
               7         0.29306        0.297943       0.0190553
               8         0.25838        0.292998       0.0173032
               9         0.23116        0.286127       0.0166891
              10         0.28361        0.285875       0.0150221
              11         0.31251        0.288296       0.0138502
              12          0.2753        0.287213       0.0127383
              13         0.17817        0.278825       0.0142551
              14         0.28526        0.279285       0.0132442
              15         0.39198        0.286798       0.0143347
              16         0.31507        0.288565       0.0135473
              17         0.23482        0.285404       0.0131141
              18         0.39286        0.291373        0.013677
              19         0.38617        0.296363       0.0138373
              20         0.27119        0.295104       0.0132025
              21         0.29224        0.294968       0.0125745
              22         0.27015         0.29384       0.0120535
              23         0.36817        0.297071       0.0119548
              24         0.34752        0.299173         0.01164
              25         0.30684         0.29948       0.0111785
              26         0.37556        0.302406       0.0111249
              27         0.30393        0.302463        0.010713
              28         0.39836        0.305887       0.0108641
              29         0.27379        0.304781       0.0105457
              30         0.15809        0.299891       0.0112709
              31         0.33553        0.301041       0.0109658
              32         0.35412        0.302699       0.0107478
              33         0.21466        0.300032       0.0107482
              34         0.19254         0.29687       0.0108871
              35         0.16469        0.293093       0.0112119
              36         0.16223        0.289458       0.0114746
              37         0.22077        0.287602       0.0113137
              38         0.21129        0.285594       0.0111928
              39         0.22211        0.283966       0.0110235
              40         0.30987        0.284614       0.0107669
              41         0.28062        0.284516       0.0105048
              42         0.38511        0.286911       0.0105241
              43         0.37466        0.288952       0.0104754
              44         0.33681         0.29004       0.0102936
              45         0.24558        0.289052       0.0101122
              46         0.26136         0.28845      0.00991025
              47         0.22656        0.287133      0.00978648
              48         0.25604        0.286485      0.00960401
              49         0.17184        0.284145      0.00968881
              50         0.33338         0.28513      0.00954494
              51         0.25057        0.284452      0.00938181
              52         0.28548        0.284472      0.00920141
              53          0.2684        0.284169       0.0090328
              54         0.26592        0.283831      0.00887184
              55         0.33847        0.284824      0.00876598
              56         0.24625        0.284136      0.00863647
              57         0.31817        0.284733      0.00850557
              58          0.2345        0.283867       0.0084029
              59         0.27657        0.283743      0.00826138
              60         0.23523        0.282934      0.00816317
              61         0.26943        0.282713      0.00803234
              62         0.27376        0.282569      0.00790409
              63         0.22816        0.281705      0.00782567
              64         0.29906        0.281976      0.00770809
              65         0.25663        0.281586      0.00759936
              66          0.3693        0.282915      0.00759954
              67         0.22713        0.282083      0.00753158
              68         0.21926        0.281159      0.00747727
              69         0.26261         0.28089      0.00737374
              70         0.23002        0.280163      0.00730412
              71         0.36449        0.281351      0.00729717
              72         0.20103        0.280235       0.0072806
              73         0.16446        0.278649      0.00735157
              74          0.3239        0.279261      0.00727761
              75          0.2578        0.278975       0.0071862
              76          0.2125          0.2781      0.00714468
              77         0.38486        0.279486      0.00718516
              78         0.31542        0.279947       0.0071078
              79         0.38156        0.281233      0.00713326
              80         0.36981        0.282341       0.0071295
              81         0.22802         0.28167      0.00707295
              82          0.2766        0.281608      0.00698697
              83         0.23739        0.281075      0.00692307
              84         0.31186        0.281442      0.00685034
              85         0.25493         0.28113      0.00677685
              86         0.29352        0.281274      0.00669958
              87         0.40001        0.282639      0.00676015
              88         0.29105        0.282734      0.00668401
              89         0.25989        0.282478      0.00661384
              90         0.32794        0.282983      0.00655961
              91         0.28827        0.283041      0.00648778
              92         0.22573        0.282418       0.0064471
              93         0.27823        0.282373      0.00637794
              94          0.3993        0.283617      0.00643024
              95         0.35885        0.284409      0.00641114
              96          0.2946        0.284515      0.00634523
              97         0.26462         0.28431      0.00628313
              98         0.32115        0.284686      0.00623025
              99         0.25256        0.284361      0.00617577
             100         0.29866        0.284504      0.00611566
