#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.616127    0.616127           0
           2    0.635493     0.62581  0.00684715
           3    0.618647    0.623422  0.00496368
           4    0.610947    0.620303   0.0045994
           5    0.671593    0.630561  0.00988535
           6     0.64636    0.633194  0.00858131
           7    0.638727    0.633985  0.00739172
           8    0.644127    0.635252  0.00657557
           9      0.6527    0.637191  0.00612405
          10     0.67938     0.64141  0.00681156
          11    0.689513    0.645783  0.00746524
          12    0.646453    0.645839  0.00684335
          13    0.693007    0.649467  0.00721495
          14    0.631367    0.648174  0.00681445
          15      0.6224    0.646456  0.00657322
          16     0.65432    0.646947  0.00618075
          17     0.62664    0.645753  0.00593149
          18    0.619193    0.644277  0.00578258
          19    0.639427    0.644022  0.00548386
          20    0.625087    0.643075  0.00529077
          21    0.672067    0.644456  0.00521583
          22       0.625    0.643572  0.00505317
          23    0.651133      0.6439  0.00484415
          24    0.666613    0.644847  0.00473385
          25    0.651627    0.645118  0.00455226
          26     0.65352    0.645441  0.00438863
          27    0.590193    0.643395  0.00467886
          28    0.651513    0.643685  0.00452073
          29    0.656293     0.64412   0.0043857
          30    0.653887    0.644445  0.00425158
          31    0.664933    0.645106  0.00416548
          32     0.65778    0.645502   0.0040541
          33    0.639113    0.645308  0.00393586
          34    0.642593    0.645229  0.00382091
          35     0.67618    0.646113  0.00381271
          36    0.609113    0.645085  0.00384283
          37    0.671313    0.645794  0.00380379
          38    0.641493    0.645681  0.00370537
          39    0.611713     0.64481  0.00371131
          40    0.649667    0.644931  0.00362051
          41    0.668507    0.645506  0.00357758
          42     0.63902    0.645352  0.00349573
          43    0.646393    0.645376  0.00341452
          44    0.643973    0.645344  0.00333706
          45    0.605613    0.644461  0.00337769
          46     0.65636     0.64472  0.00331415
          47    0.652973    0.644896  0.00324828
          48     0.68808    0.645795  0.00330285
          49     0.66326    0.646152  0.00325462
          50    0.647727    0.646183  0.00318968
          51    0.647647    0.646212  0.00312727
          52    0.634267    0.645982  0.00307555
          53    0.666287    0.646365  0.00304129
          54    0.662107    0.646657  0.00299891
          55    0.685753    0.647368  0.00302746
          56    0.684867    0.648037  0.00304655
          57    0.633853    0.647788  0.00300325
          58    0.632147    0.647519  0.00296355
          59    0.695007    0.648324  0.00302065
          60     0.65622    0.648455  0.00297317
          61    0.661207    0.648664  0.00293177
          62    0.640493    0.648532  0.00288744
          63    0.668653    0.648852  0.00285922
          64     0.61912    0.648387  0.00285203
          65    0.659213    0.648554  0.00281301
          66     0.63768    0.648389  0.00277521
          67     0.65228    0.648447   0.0027344
          68      0.6382    0.648296  0.00269834
          69     0.65436    0.648384  0.00266066
          70    0.621427    0.647999  0.00265038
          71    0.634293    0.647806  0.00262007
          72     0.66528    0.648049  0.00259489
          73      0.6669    0.648307  0.00257216
          74    0.658747    0.648448  0.00254127
          75    0.659007    0.648589  0.00251128
          76     0.62942    0.648337  0.00249087
          77    0.651113    0.648373  0.00245879
          78    0.633947    0.648188  0.00243421
          79    0.637273     0.64805  0.00240731
          80    0.688193    0.648551  0.00242896
          81    0.665213    0.648757  0.00240767
          82    0.677593    0.649109  0.00240385
          83       0.637    0.648963  0.00237931
          84    0.622353    0.648646  0.00237198
          85     0.67808    0.648992  0.00236921
          86      0.6223    0.648682  0.00236191
          87     0.66906    0.648916  0.00234635
          88    0.671153    0.649169  0.00233325
          89    0.633827    0.648997  0.00231339
          90    0.637487    0.648869  0.00229122
          91     0.62864    0.648646   0.0022768
          92    0.622973    0.648367  0.00226909
          93     0.62952    0.648165  0.00225372
          94    0.638967    0.648067  0.00223187
          95    0.681313    0.648417  0.00223565
          96      0.6454    0.648385  0.00221258
          97      0.6387    0.648286  0.00219202
          98     0.66738     0.64848   0.0021783
          99    0.626653     0.64826  0.00216742
         100      0.6203     0.64798  0.00216371
