#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     26.6426     26.6426           0
           2     28.3449     27.4938    0.601839
           3     25.9145     26.9673    0.587983
           4     20.3164     25.3046     1.50599
           5     25.1331     25.2703     1.20518
           6     27.1969     25.5914     1.04622
           7     30.6294     26.3111     1.11721
           8     25.2122     26.1738    0.985971
           9     23.4037      25.866    0.923208
          10     19.2557     25.2049     1.04098
          11     22.4109     24.9509    0.976842
          12     25.6056     25.0055    0.896961
          13     22.3973     24.8049    0.850107
          14     28.8554     25.0942    0.837171
          15        25.6     25.1279    0.782039
          16     24.6169      25.096    0.733813
          17     19.1402     24.7456    0.769748
          18     29.5769      25.014    0.772363
          19     23.8897     24.9549    0.733976
          20     24.7833     24.9463    0.697327
          21     21.9214     24.8022    0.678835
          22     18.1617     24.5004     0.71193
          23     34.3445     24.9284    0.799346
          24     18.4877       24.66    0.809837
          25     16.5062     24.3339    0.840559
          26     21.5044     24.2251    0.815245
          27     26.3365     24.3033    0.788792
          28     20.8265     24.1791    0.770332
          29     30.8953     24.4107    0.777803
          30     30.8717      24.626    0.781124
          31     21.1343     24.5134    0.764004
          32     24.0246     24.4981    0.740282
          33      18.763     24.3243    0.737967
          34      18.894     24.1646    0.733342
          35     22.8625     24.1274    0.713333
          36     24.6638     24.1423    0.693674
          37     23.7881     24.1327    0.674992
          38     22.5617     24.0914    0.658494
          39     21.9583     24.0367    0.643877
          40     21.1987     23.9658    0.631677
          41     19.2644     23.8511    0.626591
          42     24.0132     23.8549    0.611684
          43     32.5792     24.0578     0.63021
          44     24.3581     24.0647    0.615924
          45     31.1003      24.221    0.621764
          46      26.014       24.26    0.609468
          47     21.6523     24.2045    0.599021
          48     19.6031     24.1086    0.594163
          49     27.4559      24.177    0.585951
          50     31.1903     24.3172    0.590782
          51     29.6581     24.4219    0.588406
          52     26.8688      24.469    0.578969
          53     25.6289     24.4909    0.568459
          54     22.9524     24.4624    0.558645
          55     23.1873     24.4392    0.548969
          56     21.2938      24.383    0.542032
          57     28.0608     24.4476    0.536349
          58     25.3743     24.4635    0.527339
          59     19.6658     24.3822    0.524634
          60     17.9678     24.2753     0.52667
          61     21.0693     24.2228    0.520652
          62     20.5689     24.1638    0.515579
          63     29.6331     24.2506    0.514652
          64     26.5913     24.2872    0.507908
          65     30.6518     24.3851    0.509445
          66     19.9802     24.3184     0.50608
          67     22.2782     24.2879    0.499441
          68     23.6299     24.2783     0.49219
          69     17.7095     24.1831    0.494178
          70     25.5737     24.2029    0.487518
          71     21.6712     24.1673    0.481954
          72     23.2142      24.154    0.475442
          73     18.2904     24.0737    0.475665
          74     25.6755     24.0954     0.46973
          75     29.6993     24.1701    0.469372
          76     20.7816     24.1255    0.465309
          77     19.9649     24.0715    0.462392
          78     27.4672      24.115    0.458509
          79     24.0463     24.1141    0.452706
          80     20.8251      24.073     0.44891
          81     29.2943     24.1375    0.447972
          82      32.372     24.2379    0.453625
          83     28.4107     24.2882    0.450937
          84     27.3521     24.3246    0.447042
          85     29.6499     24.3873    0.446151
          86     18.3226     24.3168    0.446501
          87     19.3511     24.2597    0.445002
          88     19.7283     24.2082    0.442915
          89     28.3957     24.2553     0.44043
          90     19.0154      24.197    0.439368
          91     20.2781      24.154    0.436645
          92     20.3682     24.1128    0.433834
          93     26.4149     24.1376    0.429874
          94     22.5608     24.1208    0.425628
          95     30.4593     24.1875    0.426346
          96     26.9726     24.2165     0.42289
          97     29.4477     24.2705    0.421955
          98     20.0581     24.2275    0.419833
          99     20.2517     24.1873    0.417509
         100     25.5411     24.2009    0.413553
