#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.773659    0.773659           0
           2    0.804385    0.789022   0.0108633
           3    0.772511    0.783519  0.00852308
           4    0.781281    0.782959  0.00641063
           5    0.759407    0.778249  0.00663714
           6    0.792296     0.78059  0.00592952
           7    0.787896    0.781634  0.00517349
           8    0.763207    0.779331  0.00501339
           9    0.758985     0.77707  0.00493979
          10    0.785881    0.777951  0.00452371
          11    0.742519     0.77473  0.00513273
          12    0.778926     0.77508   0.0047169
          13    0.762215     0.77409  0.00445666
          14    0.793607    0.775484  0.00435091
          15    0.743452    0.773349  0.00455486
          16    0.777726    0.773622  0.00427839
          17    0.796119    0.774946  0.00422642
          18    0.769689    0.774653   0.0040017
          19    0.767074    0.774255  0.00381091
          20    0.791481    0.775116  0.00371643
          21    0.730556    0.772994  0.00410072
          22    0.812415    0.774786  0.00428798
          23     0.75837    0.774072  0.00416052
          24    0.801444    0.775213  0.00414054
          25    0.771081    0.775047  0.00397821
          26    0.767881    0.774772  0.00383474
          27    0.826874    0.776702  0.00414994
          28    0.729415    0.775013  0.00433175
          29    0.818593    0.776515  0.00443539
          30    0.761111    0.776002  0.00431716
          31    0.751037    0.775197  0.00425235
          32    0.819156     0.77657  0.00433568
          33    0.794926    0.777127  0.00423982
          34    0.792926    0.777591  0.00414051
          35    0.825674    0.778965    0.004244
          36    0.781733    0.779042  0.00412681
          37    0.763111    0.778611  0.00403767
          38    0.804111    0.779282  0.00398679
          39    0.719111     0.77774  0.00417243
          40     0.78823    0.778002  0.00407636
          41    0.787156    0.778225  0.00398304
          42    0.831933    0.779504  0.00408833
          43    0.796733    0.779905  0.00401284
          44    0.767148    0.779615   0.0039321
          45    0.756504    0.779101  0.00387812
          46    0.761993    0.778729   0.0038116
          47    0.835504    0.779937  0.00391724
          48     0.77323    0.779797  0.00383813
          49    0.738089    0.778946  0.00385303
          50    0.782348    0.779014  0.00377657
          51    0.746681     0.77838  0.00375535
          52    0.819896    0.779179  0.00376705
          53    0.772815    0.779059  0.00369788
          54    0.761015    0.778724  0.00364447
          55    0.799933     0.77911  0.00359855
          56    0.795363      0.7794  0.00354597
          57    0.737963    0.778673   0.0035575
          58    0.782844    0.778745  0.00349689
          59    0.810852    0.779289  0.00347971
          60    0.785978    0.779401   0.0034235
          61    0.813237    0.779956  0.00341202
          62    0.757267     0.77959  0.00337655
          63    0.769659    0.779432  0.00332663
          64    0.771852    0.779314  0.00327676
          65    0.788215     0.77945  0.00322921
          66    0.733296    0.778751  0.00325512
          67    0.781719    0.778795  0.00320684
          68    0.757437    0.778481  0.00317502
          69    0.755267    0.778145  0.00314679
          70    0.731037    0.777472  0.00317298
          71    0.784289    0.777568  0.00312974
          72    0.851704    0.778598  0.00325124
          73    0.789022     0.77874  0.00320983
          74      0.7858    0.778836  0.00316788
          75     0.77857    0.778832  0.00312564
          76       0.782    0.778874  0.00308479
          77    0.814319    0.779334  0.00307888
          78    0.765556    0.779158  0.00304447
          79    0.773726    0.779089  0.00300671
          80    0.776793     0.77906  0.00296926
          81    0.791459    0.779213  0.00293655
          82    0.753126    0.778895  0.00291792
          83    0.767074    0.778753  0.00288624
          84    0.753637    0.778454  0.00286732
          85    0.772719    0.778386  0.00283438
          86    0.834274    0.779036  0.00287496
          87    0.827378    0.779592  0.00289511
          88    0.802896    0.779857   0.0028743
          89    0.766807     0.77971  0.00284574
          90     0.79923    0.779927  0.00282237
          91    0.781867    0.779948  0.00279144
          92    0.774837    0.779893  0.00276165
          93    0.794459    0.780049  0.00273639
          94    0.752015    0.779751  0.00272349
          95    0.772474    0.779674   0.0026959
          96    0.770452    0.779578  0.00266953
          97     0.78457     0.77963   0.0026425
          98     0.77803    0.779613  0.00261559
          99    0.786059    0.779679  0.00258998
         100      0.7342    0.779224   0.0026037
