#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      11.185      11.185           0
           2     9.68184     10.4334    0.531461
           3     9.95751     10.2748    0.377243
           4      11.092     10.4791    0.333696
           5     10.1911     10.4215    0.271884
           6      10.462     10.4282    0.226654
           7     10.5188     10.4412    0.194643
           8     10.5665     10.4568    0.170942
           9     11.4933      10.572    0.186754
          10     9.87456     10.5023    0.180634
          11     9.11229     10.3759     0.20367
          12     12.5843     10.5599    0.256711
          13     12.0655     10.6757    0.261789
          14     9.12782     10.5652    0.265414
          15     9.60527     10.5012    0.255318
          16     9.14804     10.4166     0.25298
          17     10.3208      10.411    0.238161
          18      9.5486     10.3631    0.229698
          19     9.56636     10.3211    0.221403
          20     8.68291     10.2392    0.224976
          21     11.6122     10.3046     0.22356
          22     10.4534     10.3114    0.213501
          23     9.67611     10.2837    0.205997
          24     10.3435     10.2862    0.197429
          25     11.7574     10.3451    0.198108
          26     11.5169     10.3902    0.195548
          27     8.74871     10.3294     0.19753
          28     10.6911     10.3423    0.190897
          29     10.8127     10.3585    0.185002
          30     10.2913     10.3563    0.178849
          31     9.39949     10.3254    0.175723
          32     8.59716     10.2714    0.178338
          33     10.4994     10.2783    0.173067
          34     10.5898     10.2875     0.16822
          35     11.0823     10.3102    0.164939
          36     10.9132     10.3269    0.161206
          37      11.728     10.3648    0.161235
          38     9.05244     10.3303    0.160648
          39     10.6239     10.3378    0.156705
          40     11.5601     10.3683    0.155739
          41     10.8962     10.3812    0.152471
          42     10.3669     10.3809    0.148841
          43     11.1761     10.3994    0.146524
          44     10.2591     10.3962    0.143229
          45      10.553     10.3997    0.140088
          46     10.9677      10.412    0.137586
          47     9.50951     10.3928    0.135992
          48     9.63587      10.377     0.13407
          49     9.25498     10.3541    0.133275
          50     10.4147     10.3554    0.130615
          51     12.0547     10.3887    0.132236
          52     10.8343     10.3972    0.129971
          53     10.2309     10.3941    0.127556
          54     10.8836     10.4032    0.125516
          55     9.23013     10.3818    0.125033
          56     11.4536      10.401    0.124256
          57     10.0981     10.3957     0.12219
          58     10.5178     10.3978    0.120101
          59     10.1844     10.3942     0.11812
          60     10.0298     10.3881    0.116307
          61     10.2814     10.3863    0.114414
          62     11.1144     10.3981    0.113169
          63     10.6508     10.4021    0.111444
          64      10.351     10.4013    0.109706
          65     11.0821     10.4118    0.108517
          66     10.1264     10.4074    0.106959
          67     12.0666     10.4322    0.108191
          68     10.3782     10.4314    0.106603
          69     9.68522     10.4206    0.105605
          70     9.81153     10.4119    0.104454
          71      9.2952     10.3962     0.10416
          72     8.63531     10.3717    0.105546
          73     9.65744     10.3619    0.104552
          74     9.72562     10.3533    0.103493
          75     10.0635     10.3495    0.102185
          76     10.0082      10.345    0.100939
          77     9.13898     10.3293    0.100836
          78     11.3176      10.342    0.100336
          79     8.74942     10.3218    0.101071
          80      9.9332      10.317   0.0999239
          81     9.02582      10.301   0.0999536
          82     9.96849      10.297   0.0988169
          83     9.79053     10.2909   0.0978145
          84     11.2716     10.3025   0.0973444
          85     11.0316     10.3111   0.0965763
          86     9.87622     10.3061   0.0955857
          87     10.6889     10.3105   0.0945882
          88     11.1498       10.32    0.093993
          89     10.0616     10.3171   0.0929817
          90     11.2687     10.3277   0.0925478
          91     10.0641     10.3248   0.0915761
          92     10.9337     10.3314   0.0908196
          93     10.7225     10.3356   0.0899403
          94     12.3024     10.3565   0.0913848
          95      10.494      10.358   0.0904344
          96     11.0766     10.3655   0.0898017
          97     10.3007     10.3648   0.0888783
          98     11.1037     10.3723   0.0882907
          99     11.2238     10.3809   0.0878167
         100     11.3491     10.3906   0.0874706
