#   N_BLOCK:  ACCEPTANCE:
           1    0.492235
           2    0.491895
           3    0.492457
           4    0.493059
           5    0.493848
           6    0.494236
           7    0.494143
           8    0.493304
           9    0.493433
          10    0.492949
          11    0.492689
          12    0.492615
          13    0.492817
          14    0.492714
          15    0.493137
          16    0.493454
          17    0.493549
          18    0.493496
          19     0.49341
          20    0.493441
          21    0.493494
          22    0.493653
          23    0.493649
          24    0.493787
          25    0.494054
          26    0.494075
          27    0.494172
          28    0.494053
          29    0.494095
          30    0.494177
          31    0.494184
          32    0.494219
          33    0.494216
          34    0.493962
          35    0.493935
          36    0.493849
          37    0.493777
          38    0.493719
          39    0.493645
          40    0.493702
          41    0.493658
          42    0.493599
          43    0.493541
          44    0.493516
          45    0.493525
          46    0.493468
          47    0.493428
          48    0.493378
          49    0.493344
          50    0.493366
          51    0.493387
          52    0.493378
          53    0.493385
          54    0.493437
          55    0.493459
          56    0.493444
          57     0.49342
          58    0.493447
          59    0.493457
          60    0.493516
          61    0.493472
          62    0.493413
          63     0.49337
          64    0.493398
          65    0.493403
          66    0.493333
          67    0.493333
          68    0.493283
          69    0.493232
          70    0.493256
          71    0.493286
          72    0.493277
          73    0.493334
          74    0.493361
          75    0.493364
          76    0.493316
          77    0.493287
          78    0.493301
          79     0.49328
          80    0.493278
          81    0.493328
          82    0.493344
          83     0.49335
          84    0.493341
          85    0.493302
          86    0.493329
          87    0.493291
          88    0.493253
          89    0.493267
          90    0.493291
          91    0.493288
          92     0.49334
          93    0.493338
          94     0.49333
          95    0.493377
          96    0.493389
          97    0.493363
          98    0.493401
          99    0.493421
         100    0.493453
