#   N_BLOCK:  ACCEPTANCE:
           1    0.999976
           2    0.999987
           3    0.999991
           4    0.999992
           5    0.999994
           6    0.999995
           7    0.999995
           8    0.999996
           9    0.999996
          10    0.999996
          11    0.999996
          12    0.999996
          13    0.999997
          14    0.999997
          15    0.999997
          16    0.999997
          17    0.999997
          18    0.999997
          19    0.999997
          20    0.999997
          21    0.999997
          22    0.999997
          23    0.999997
          24    0.999997
          25    0.999998
          26    0.999998
          27    0.999998
          28    0.999998
          29    0.999998
          30    0.999998
          31    0.999998
          32    0.999998
          33    0.999998
          34    0.999998
          35    0.999998
          36    0.999998
          37    0.999998
          38    0.999998
          39    0.999998
          40    0.999998
          41    0.999998
          42    0.999998
          43    0.999998
          44    0.999998
          45    0.999998
          46    0.999998
          47    0.999998
          48    0.999998
          49    0.999998
          50    0.999998
          51    0.999998
          52    0.999998
          53    0.999998
          54    0.999998
          55    0.999998
          56    0.999998
          57    0.999998
          58    0.999998
          59    0.999998
          60    0.999998
          61    0.999998
          62    0.999998
          63    0.999998
          64    0.999998
          65    0.999998
          66    0.999998
          67    0.999998
          68    0.999998
          69    0.999998
          70    0.999998
          71    0.999998
          72    0.999998
          73    0.999998
          74    0.999998
          75    0.999998
          76    0.999998
          77    0.999998
          78    0.999998
          79    0.999998
          80    0.999998
          81    0.999998
          82    0.999998
          83    0.999998
          84    0.999998
          85    0.999998
          86    0.999998
          87    0.999998
          88    0.999998
          89    0.999998
          90    0.999998
          91    0.999998
          92    0.999998
          93    0.999998
          94    0.999998
          95    0.999998
          96    0.999998
          97    0.999998
          98    0.999998
          99    0.999998
         100    0.999998
