#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.18136     3.18136           0
           2     3.29847     3.23991   0.0414061
           3     3.28353     3.25445   0.0300489
           4      3.2719     3.25881    0.022851
           5     3.31907     3.27087   0.0212222
           6     3.28403     3.27306   0.0177983
           7     3.28873      3.2753   0.0153958
           8     3.26402     3.27389   0.0135357
           9     3.30376     3.27721    0.012432
          10     3.26526     3.27601    0.011246
          11     3.28516     3.27684   0.0102544
          12     3.28471      3.2775  0.00942075
          13     3.27319     3.27717   0.0087019
          14     3.28175      3.2775  0.00808649
          15     3.31154     3.27977  0.00785945
          16     3.28004     3.27978  0.00736825
          17     3.30813     3.28145  0.00712102
          18     3.29472     3.28219  0.00676344
          19     3.27946     3.28204  0.00640899
          20     3.29089     3.28249   0.0061038
          21     3.31189     3.28389  0.00597161
          22     3.32317     3.28567  0.00596111
          23     3.29383     3.28603  0.00571247
          24     3.29472     3.28639  0.00548591
          25     3.27741     3.28603  0.00527822
          26     3.29265     3.28628  0.00508136
          27     3.28004     3.28605  0.00489842
          28     3.28437     3.28599  0.00472384
          29     3.25138      3.2848  0.00470933
          30     3.28097     3.28467  0.00455408
          31     3.31597     3.28568  0.00451771
          32      3.3035     3.28624  0.00441073
          33     3.30929     3.28694  0.00433203
          34     3.29952     3.28731   0.0042204
          35     3.27065     3.28683  0.00412656
          36     3.28963     3.28691  0.00401267
          37     3.28635     3.28689  0.00390425
          38     3.31177     3.28755  0.00385599
          39     3.32378     3.28848  0.00386742
          40         3.3     3.28877  0.00378146
