#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
           1   0.0848528      0.0635           0
           1    0.254558     0.22875           0
           1    0.424264     0.46525           0
           1     0.59397     0.40725           0
           1    0.763675     0.60125           0
           1    0.933381     1.01925           0
           1     1.10309        1.18           0
           1     1.27279       1.748           0
           1      1.4425     2.87975           0
           1      1.6122      2.5735           0
           1     1.78191     2.93725           0
           1     1.95161     3.39825           0
           1     2.12132     4.31025           0
           1     2.29103      16.929           0
           1     2.46073      24.163           0
           1     2.63044     20.2707           0
           1     2.80014     7.43575           0
           1     2.96985       4.371           0
           1     3.13955     4.28775           0
           1     3.30926      3.0805           0
           1     3.47897      2.5855           0
           1     3.64867      1.3355           0
           1     3.81838     0.51575           0
           1     3.98808     0.41425           0
           1     4.15779     0.32375           0
           1     4.32749       0.265           0
           1      4.4972     0.18525           0
           1      4.6669     0.01625           0
           1     4.83661     0.00875           0
           1     5.00632           0           0
           2   0.0848528      0.0335   0.0212132
           2    0.254558    0.196875    0.022539
           2    0.424264    0.457125  0.00574524
           2     0.59397     0.71325    0.216375
           2    0.763675      1.0055    0.285848
           2    0.933381     1.89062    0.616155
           2     1.10309     2.37363     0.84402
           2     1.27279     3.83688     1.47706
           2      1.4425     4.31375     1.01399
           2      1.6122        4.68     1.48952
           2     1.78191     5.19362      1.5955
           2     1.95161       5.181     1.26059
           2     2.12132     5.57088    0.891396
           2     2.29103     12.2741     3.29149
           2     2.46073     15.7562     5.94447
           2     2.63044     13.9609     4.46176
           2     2.80014       6.777    0.465807
           2     2.96985       4.781    0.289914
           2     3.13955     4.20637   0.0575408
           2     3.30926     3.35137    0.191538
           2     3.47897       3.492    0.640992
           2     3.64867     2.46738    0.800356
           2     3.81838       1.403     0.62738
           2     3.98808        1.01    0.421259
           2     4.15779      0.9365     0.43328
           2     4.32749    0.725375    0.325534
           2      4.4972       0.545    0.254382
           2      4.6669     0.27775    0.184908
           2     4.83661    0.091375   0.0584247
           2     5.00632       0.498    0.352139
           3   0.0848528   0.0306667   0.0143301
           3    0.254558    0.229833   0.0308212
           3    0.424264    0.538417   0.0664848
           3     0.59397    0.948417     0.24016
           3    0.763675     1.56108    0.492034
           3    0.933381     2.24633    0.503075
           3     1.10309     2.87733    0.696963
           3     1.27279     4.59683      1.1639
           3      1.4425     4.50017    0.692918
           3      1.6122     5.57875     1.23474
           3     1.78191     5.84058     1.18761
           3     1.95161     5.71825    0.947993
           3     2.12132     5.62617    0.595977
           3     2.29103     10.5942     2.58778
           3     2.46073     13.4941     4.37228
           3     2.63044     11.0977     3.78325
           3     2.80014     6.06308    0.660468
           3     2.96985      4.9345    0.230356
           3     3.13955     4.17258   0.0472523
           3     3.30926     3.49775    0.174897
           3     3.47897      3.8625    0.523567
           3     3.64867     2.65533    0.555203
           3     3.81838     2.00033    0.642501
           3     3.98808     1.34992    0.394841
           3     4.15779       1.206     0.36312
           3     4.32749     1.00567    0.315396
           3      4.4972     0.75325     0.24015
           3      4.6669    0.265417    0.123683
           3     4.83661   0.0896667   0.0389748
           3     5.00632     0.66525    0.271589
           4   0.0848528   0.0336875   0.0110614
           4    0.254558    0.217562   0.0254416
           4    0.424264     0.57525   0.0591937
           4     0.59397     1.24644    0.314731
           4    0.763675     1.84275    0.442359
           4    0.933381     2.31937    0.382572
           4     1.10309     3.06775    0.548117
           4     1.27279     4.85363    0.900809
           4      1.4425     5.08519    0.725785
           4      1.6122     5.85406    0.956254
           4     1.78191     6.46225     1.04078
           4     1.95161     6.20281    0.825599
           4     2.12132     5.72525    0.455144
           4     2.29103     9.89725     2.03251
           4     2.46073     11.6778     3.63694
           4     2.63044     9.82581     3.04372
           4     2.80014     5.96187    0.503046
           4     2.96985        4.77    0.223928
           4     3.13955     3.89131    0.246152
           4     3.30926     3.32869    0.196578
           4     3.47897        3.51    0.497379
           4     3.64867     2.82919    0.442786
           4     3.81838     2.27269    0.536504
           4     3.98808     1.60875    0.371402
           4     4.15779     1.63381    0.459823
           4     4.32749     1.21075    0.295802
           4      4.4972    0.940375    0.242286
           4      4.6669    0.289438   0.0950662
           4     4.83661    0.147687   0.0581315
           4     5.00632    0.718562    0.208859
           5   0.0848528     0.02715   0.0106065
           5    0.254558      0.1986   0.0264937
           5    0.424264      0.5702   0.0475699
           5     0.59397      1.1995    0.255261
           5    0.763675       1.985    0.376064
           5    0.933381     2.46465    0.332498
           5     1.10309     3.40905    0.534289
           5     1.27279      4.9736    0.728593
           5      1.4425     5.12875    0.581934
           5      1.6122      5.9856    0.773997
           5     1.78191      6.4585    0.832627
           5     1.95161       6.741    0.817282
           5     2.12132      5.8784     0.38903
           5     2.29103     9.10515     1.77365
           5     2.46073      10.684     3.04229
           5     2.63044      8.9423        2.56
           5     2.80014      5.7181    0.457708
           5     2.96985     4.91145    0.219313
           5     3.13955     4.10675    0.275516
           5     3.30926     3.82705    0.472677
           5     3.47897      3.7251    0.441975
           5     3.64867     2.96945    0.375789
           5     3.81838      2.2578     0.42941
           5     3.98808      1.6868    0.305213
           5     4.15779     1.61085    0.368431
           5     4.32749     1.18435    0.237817
           5      4.4972     0.94365    0.193851
           5      4.6669     0.34525   0.0909729
           5     4.83661      0.2153   0.0762882
           5     5.00632      0.7466    0.168958
           6   0.0848528   0.0277917  0.00885814
           6    0.254558    0.246042   0.0486111
           6    0.424264    0.610375   0.0540045
           6     0.59397     1.20062     0.21272
           6    0.763675     2.07433    0.323824
           6    0.933381     2.62817    0.314731
           6     1.10309     3.55733    0.465363
           6     1.27279     5.06579    0.612966
           6      1.4425     5.35621    0.527528
           6      1.6122     6.05625    0.648214
           6     1.78191     6.35642    0.700086
           6     1.95161     6.72558    0.681214
           6     2.12132     6.23175    0.457326
           6     2.29103     8.49433     1.57972
           6     2.46073     9.98208     2.61497
           6     2.63044     8.24071      2.2274
           6     2.80014     5.89008    0.412471
           6     2.96985     5.30804    0.405552
           6     3.13955     4.31646    0.298936
           6     3.30926     3.75417    0.399477
           6     3.47897     3.59583    0.386754
           6     3.64867     3.00146    0.314517
           6     3.81838     2.22683    0.358956
           6     3.98808      1.7925    0.272032
           6     4.15779     1.74988    0.332222
           6     4.32749     1.15208    0.200358
           6      4.4972    0.938208    0.161619
           6      4.6669      0.4125   0.0975504
           6     4.83661    0.238167   0.0669128
           6     5.00632        0.77     0.14241
           7   0.0848528   0.0282143  0.00760277
           7    0.254558    0.273464   0.0487922
           7    0.424264    0.640286   0.0539404
           7     0.59397     1.23964    0.185875
           7    0.763675     2.17571    0.293003
           7    0.933381     2.75282    0.293419
           7     1.10309     3.44307    0.412672
           7     1.27279     5.15211    0.531442
           7      1.4425     5.70814    0.557332
           7      1.6122     6.20643    0.572745
           7     1.78191     6.16307    0.626203
           7     1.95161     6.63868    0.589415
           7     2.12132     6.13164    0.402801
           7     2.29103     8.12025     1.39764
           7     2.46073     9.35321     2.31579
           7     2.63044     8.04254     1.91799
           7     2.80014     6.24225    0.480936
           7     2.96985     5.45482    0.373234
           7     3.13955     4.24211    0.265316
           7     3.30926     3.86764    0.358164
           7     3.47897     3.68593    0.341837
           7     3.64867     2.99261    0.269711
           7     3.81838     2.37286    0.336068
           7     3.98808     1.74693    0.236956
           7     4.15779     1.67471    0.293141
           7     4.32749     1.29764    0.218297
           7      4.4972    0.996679    0.148731
           7      4.6669    0.405536   0.0838628
           7     4.83661    0.239964    0.057378
           7     5.00632    0.711036    0.133716
           8   0.0848528   0.0249375  0.00732461
           8    0.254558       0.411    0.135552
           8    0.424264    0.631969   0.0478347
           8     0.59397     1.17034    0.175083
           8    0.763675     2.20181    0.257538
           8    0.933381       2.847    0.271435
           8     1.10309     3.54744    0.374053
           8     1.27279       5.225    0.469984
           8      1.4425     5.84206    0.503498
           8      1.6122     6.44238    0.547599
           8     1.78191     6.33181     0.57021
           8     1.95161     6.72894    0.522603
