#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               1             inf             inf               0
               2             inf             inf             nan
               3             inf             inf             nan
               4             inf             inf             nan
               5             inf             inf             nan
               6             inf             inf             nan
               7             inf             inf             nan
               8             inf             inf             nan
               9             inf             inf             nan
              10             inf             inf             nan
              11             inf             inf             nan
              12             inf             inf             nan
              13             inf             inf             nan
              14             inf             inf             nan
              15             inf             inf             nan
              16             inf             inf             nan
              17             inf             inf             nan
              18             inf             inf             nan
              19             inf             inf             nan
              20             inf             inf             nan
              21             inf             inf             nan
              22             inf             inf             nan
              23             inf             inf             nan
              24             inf             inf             nan
              25             inf             inf             nan
              26             inf             inf             nan
              27             inf             inf             nan
              28             inf             inf             nan
              29             inf             inf             nan
              30             inf             inf             nan
              31             inf             inf             nan
              32             inf             inf             nan
              33             inf             inf             nan
              34             inf             inf             nan
              35             inf             inf             nan
              36             inf             inf             nan
              37             inf             inf             nan
              38             inf             inf             nan
              39             inf             inf             nan
              40             inf             inf             nan
              41             inf             inf             nan
              42             inf             inf             nan
              43             inf             inf             nan
              44             inf             inf             nan
              45             inf             inf             nan
              46             inf             inf             nan
              47             inf             inf             nan
              48             inf             inf             nan
              49             inf             inf             nan
              50             inf             inf             nan
              51             inf             inf             nan
              52             inf             inf             nan
              53             inf             inf             nan
              54             inf             inf             nan
              55             inf             inf             nan
              56             inf             inf             nan
              57             inf             inf             nan
              58             inf             inf             nan
              59             inf             inf             nan
              60             inf             inf             nan
              61             inf             inf             nan
              62             inf             inf             nan
              63             inf             inf             nan
              64             inf             inf             nan
              65             inf             inf             nan
              66             inf             inf             nan
              67             inf             inf             nan
              68             inf             inf             nan
              69             inf             inf             nan
              70             inf             inf             nan
              71             inf             inf             nan
              72             inf             inf             nan
              73             inf             inf             nan
              74             inf             inf             nan
              75             inf             inf             nan
              76             inf             inf             nan
              77             inf             inf             nan
              78             inf             inf             nan
              79             inf             inf             nan
              80             inf             inf             nan
              81             inf             inf             nan
              82             inf             inf             nan
              83             inf             inf             nan
              84             inf             inf             nan
              85             inf             inf             nan
              86             inf             inf             nan
              87             inf             inf             nan
              88             inf             inf             nan
              89             inf             inf             nan
              90             inf             inf             nan
              91             inf             inf             nan
              92             inf             inf             nan
              93             inf             inf             nan
              94             inf             inf             nan
              95             inf             inf             nan
              96             inf             inf             nan
              97             inf             inf             nan
              98             inf             inf             nan
              99             inf             inf             nan
             100             inf             inf             nan
