#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
               1        0.519944        0.519944               0
               2        0.599992        0.559968       0.0283012
               3        0.679976        0.599971       0.0377199
               4            0.76        0.639978       0.0447299
               5        0.839984        0.679979        0.050602
               6            0.84        0.706649        0.048692
               7            0.84        0.725699       0.0453096
               8            0.76        0.729987       0.0398482
               9            0.76        0.733322       0.0355599
              10            0.76         0.73599       0.0321039
              11        0.839992        0.745444       0.0305458
              12            0.84        0.753324       0.0289989
              13        0.839992        0.759991       0.0275239
              14        0.839992        0.765705       0.0261443
              15        0.839976        0.770657       0.0248658
              16            0.84        0.774991       0.0236864
              17            0.84        0.778815       0.0225997
              18            0.84        0.782214       0.0215982
              19        0.839992        0.785255       0.0206745
              20            0.84        0.787992       0.0198211
              21            0.84        0.790469       0.0190313
              22            0.84         0.79272        0.018299
              23        0.839992        0.794775       0.0176184
              24            0.84         0.79666       0.0169848
              25            0.84        0.798393       0.0163936
              26            0.76        0.796917       0.0158295
              27            0.76        0.795549       0.0153021
              28            0.76         0.79428       0.0148082
              29        0.759984        0.793097       0.0143447
              30            0.84        0.794661       0.0139515
              31        0.839976        0.796122       0.0135778
              32            0.84        0.797494       0.0132226
              33        0.839992        0.798781       0.0128844
              34            0.84        0.799994       0.0125624
              35            0.76        0.798851       0.0122553
              36            0.84        0.799994       0.0119681
              37            0.84        0.801075       0.0116934
              38            0.84          0.8021       0.0114304
              39            0.84        0.803071       0.0111786
              40            0.84        0.803995       0.0109372
              41            0.76        0.802922       0.0107229
              42            0.84        0.803804       0.0105039
              43        0.839984        0.804646       0.0102932
              44            0.84        0.805449       0.0100906
              45        0.919992        0.807995       0.0101824
              46            0.92         0.81043        0.010248
              47        0.919992        0.812761       0.0102917
              48            0.84        0.813328       0.0100929
              49            0.84        0.813872      0.00990159
              50            0.84        0.814395      0.00971734
              51        0.919952        0.816465      0.00974473
              52        0.919992        0.818456      0.00975859
              53            0.92        0.820372      0.00976074
              54            0.92        0.822217      0.00975279
              55        0.919992        0.823994      0.00973614
              56        0.919992        0.825709      0.00971202
              57            0.84        0.825959      0.00954487
              58            0.84        0.826201      0.00938337
              59            0.84        0.826435      0.00922725
              60         0.91996        0.827994      0.00920418
              61            0.84        0.828191      0.00905539
              62            0.84        0.828381      0.00891134
              63            0.84        0.828566       0.0087718
              64            0.76        0.827494      0.00869992
              65        0.839992        0.827687       0.0085682
              66            0.84        0.827873      0.00844041
              67        0.839992        0.828054      0.00831637
              68        0.839992         0.82823      0.00819592
              69        0.839992          0.8284      0.00807891
              70            0.84        0.828566       0.0079652
              71            0.84        0.828727      0.00785464
              72            0.84        0.828883      0.00774711
              73            0.76         0.82794      0.00769824
              74            0.76        0.827022      0.00764876
              75            0.76        0.826128       0.0075988
              76            0.76        0.825258      0.00754847
              77            0.68        0.823372      0.00768255
              78        0.759984        0.822559      0.00762691
              79        0.759992        0.821767      0.00757138
              80            0.76        0.820995        0.007516
              81            0.76        0.820242      0.00746084
              82            0.76        0.819507      0.00740593
              83            0.76         0.81879      0.00735132
              84        0.759992         0.81809      0.00729706
              85            0.76        0.817407      0.00724314
              86            0.76        0.816739      0.00718961
              87        0.919984        0.817926      0.00720425
              88            0.92        0.819086      0.00721516
              89            0.84        0.819321      0.00713791
              90            0.92         0.82044      0.00714572
              91               1        0.822413      0.00733458
              92            0.92        0.823473      0.00733115
              93        0.999976        0.825371      0.00749396
              94            0.92        0.826378      0.00748154
              95            0.92        0.827364      0.00746742
              96            0.84        0.827495      0.00739079
              97            0.76        0.826799      0.00734728
              98            0.76        0.826118      0.00730386
              99            0.68        0.824642       0.0073777
             100            0.76        0.823995      0.00733219
