#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1        -5.44713        -5.44713               0
               2         -5.4358        -5.44147      0.00400667
               3        -5.47794        -5.45362        0.010281
               4        -5.45322        -5.45352      0.00771126
               5        -5.49524        -5.46187      0.00968164
               6        -5.47277        -5.46368       0.0082368
               7        -5.47627        -5.46548      0.00725357
               8        -5.46748        -5.46573      0.00635117
               9        -5.46538        -5.46569       0.0056456
              10         -5.4455        -5.46367      0.00543029
              11        -5.46557        -5.46385      0.00493938
              12        -5.48088        -5.46526       0.0047273
              13        -5.45315        -5.46433      0.00445461
              14         -5.4483        -5.46319      0.00428117
              15        -5.45455        -5.46261      0.00403432
              16        -5.45632        -5.46222      0.00380131
              17        -5.47071        -5.46272      0.00361037
              18        -5.49401        -5.46446      0.00380547
              19        -5.45664        -5.46404      0.00362734
              20        -5.46449        -5.46407      0.00344605
              21        -5.47409        -5.46454      0.00331486
              22        -5.46534        -5.46458      0.00316438
              23        -5.46058        -5.46441      0.00303158
              24        -5.47302        -5.46477       0.0029264
              25        -5.45283        -5.46429      0.00284803
              26        -5.45741        -5.46402      0.00275076
              27        -5.50619        -5.46558      0.00306023
              28        -5.43004        -5.46432      0.00320346
              29        -5.46879        -5.46447      0.00309671
              30        -5.48396        -5.46512      0.00306086
              31        -5.48437        -5.46574      0.00302443
              32        -5.50352        -5.46692      0.00315189
              33         -5.4441        -5.46623      0.00313134
              34        -5.47012        -5.46634      0.00304134
              35        -5.45861        -5.46612      0.00296245
              36        -5.43639         -5.4653      0.00299309
              37         -5.4716        -5.46547      0.00291705
              38        -5.45551        -5.46521      0.00285202
              39        -5.46031        -5.46508      0.00278166
              40        -5.46579         -5.4651      0.00271217
              41        -5.45312        -5.46481       0.0026617
              42        -5.46814        -5.46488      0.00259951
              43        -5.46094        -5.46479      0.00254068
              44        -5.44486        -5.46434      0.00252299
              45        -5.44795        -5.46398      0.00249307
              46        -5.47348        -5.46418      0.00244743
              47        -5.45372        -5.46396      0.00240546
              48        -5.46766        -5.46404      0.00235659
              49          -5.449        -5.46373      0.00232838
              50        -5.49589        -5.46437      0.00236897
              51        -5.47351        -5.46455      0.00232928
              52        -5.43831        -5.46405       0.0023385
              53        -5.45933        -5.46396      0.00229607
              54        -5.45344        -5.46376      0.00226179
              55        -5.47283        -5.46393      0.00222666
              56        -5.47696        -5.46416      0.00219902
              57        -5.44353         -5.4638      0.00219003
              58        -5.45149        -5.46359      0.00216253
              59        -5.46536        -5.46362      0.00212609
              60        -5.46256         -5.4636      0.00209072
              61        -5.46521        -5.46363      0.00205662
              62        -5.45866        -5.46355        0.002025
              63        -5.47113        -5.46367      0.00199644
              64        -5.49657        -5.46418      0.00203037
              65        -5.45857        -5.46409      0.00200097
              66        -5.45801          -5.464      0.00197277
              67        -5.47318        -5.46414      0.00194807
              68        -5.49077        -5.46453      0.00195838
              69        -5.46518        -5.46454      0.00193002
              70        -5.48603        -5.46485       0.0019267
              71        -5.48457        -5.46512      0.00191949
              72        -5.48592        -5.46541      0.00191443
              73        -5.48045        -5.46562      0.00189925
              74        -5.49368          -5.466      0.00191106
              75         -5.4686        -5.46603      0.00188589
              76        -5.47118         -5.4661       0.0018623
              77        -5.48376        -5.46633      0.00185217
              78        -5.45295        -5.46616      0.00183635
              79        -5.49904        -5.46658      0.00185966
              80        -5.45686        -5.46645      0.00184038
              81        -5.47606        -5.46657      0.00182147
              82        -5.49447        -5.46691      0.00183076
              83        -5.47983        -5.46707       0.0018153
              84        -5.47943        -5.46722      0.00179965
              85        -5.45991        -5.46713      0.00178052
              86        -5.43674        -5.46678      0.00179454
              87        -5.44064        -5.46648      0.00179889
              88        -5.47663        -5.46659      0.00178215
              89        -5.45683        -5.46648       0.0017655
              90        -5.47742         -5.4666      0.00175006
              91        -5.44671        -5.46638      0.00174442
              92        -5.48351        -5.46657      0.00173537
              93        -5.43902        -5.46627      0.00174181
              94        -5.46951        -5.46631      0.00172362
              95        -5.45948        -5.46624      0.00170698
              96        -5.45872        -5.46616      0.00169099
              97        -5.44414        -5.46593      0.00168873
              98        -5.44278         -5.4657      0.00168794
              99         -5.4499        -5.46554      0.00167841
             100        -5.45048        -5.46539      0.00166837
