#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.40714     1.40714           0
           2      1.4622     1.43467   0.0194652
           3     1.31886     1.39606    0.034087
           4     1.46234     1.41263   0.0293171
           5     1.20629     1.37137   0.0437327
           6     1.36291     1.36996   0.0364666
           7     1.25831     1.35401   0.0345695
           8     1.33277     1.35135   0.0303501
           9     1.35933     1.35224   0.0269908
          10     1.44082      1.3611   0.0257042
          11     1.29233     1.35484   0.0241156
          12     1.26834     1.34764   0.0231583
          13     1.42847     1.35385    0.022196
          14     1.39656      1.3569   0.0208191
          15     1.39925     1.35973   0.0196216
          16     1.34177     1.35861   0.0184273
          17     1.28478     1.35426   0.0178478
          18     1.21986      1.3468   0.0183517
          19     1.37231     1.34814   0.0174349
          20     1.33266     1.34736   0.0165803
          21      1.2958     1.34491   0.0159716
          22     1.34095     1.34473   0.0152466
          23     1.36635     1.34567   0.0146127
          24     1.32223     1.34469   0.0140364
          25     1.39322     1.34663   0.0136085
          26     1.40923     1.34904   0.0132964
          27     1.13345     1.34106   0.0150113
          28     1.50905     1.34706   0.0156282
          29     1.33319     1.34658   0.0150966
          30     1.26911       1.344   0.0148126
          31     1.30284     1.34267   0.0143941
          32     1.17983     1.33758   0.0148165
          33      1.4243     1.34021   0.0145987
          34     1.31287      1.3394   0.0141915
          35     1.39565     1.34101   0.0138767
          36     1.50963     1.34569   0.0142598
          37     1.32071     1.34502   0.0138904
          38     1.39304     1.34628   0.0135822
          39     1.38688     1.34732   0.0132738
          40     1.32555     1.34678   0.0129531
          41     1.38045      1.3476   0.0126632
          42     1.30403     1.34656   0.0124041
          43     1.39382     1.34766   0.0121642
          44     1.48308     1.35074    0.012271
          45      1.4456     1.35285    0.012178
          46     1.22309     1.35003   0.0122356
          47     1.40362     1.35117   0.0120283
          48     1.32639     1.35065   0.0117888
          49     1.43709     1.35242   0.0116794
          50     1.19368     1.34924   0.0118695
          51     1.33878     1.34904   0.0116385
          52     1.47981     1.35155   0.0116832
          53     1.40796     1.35261   0.0115112
          54     1.42316     1.35392   0.0113719
          55     1.31742     1.35326   0.0111845
          56     1.28988     1.35213   0.0110419
          57      1.4411     1.35369   0.0109579
          58     1.41613     1.35476   0.0108217
          59     1.37721     1.35514    0.010645
          60     1.38669     1.35567   0.0104806
          61     1.33502     1.35533   0.0103142
          62     1.37241     1.35561   0.0101515
          63     1.39294      1.3562   0.0100077
          64     1.15062     1.35299    0.010354
          65     1.39244     1.35359   0.0102125
          66     1.35241     1.35358   0.0100578
          67     1.26968     1.35232   0.0099853
          68     1.22311     1.35042   0.0100176
          69     1.40774     1.35125  0.00990683
          70     1.27128     1.35011  0.00983096
          71     1.25657     1.34879  0.00978038
          72     1.29122     1.34799  0.00967718
          73      1.2887     1.34718  0.00957864
          74     1.20135     1.34521  0.00964979
          75     1.34537     1.34521  0.00952113
          76     1.32603     1.34496   0.0093992
          77     1.23095     1.34348  0.00939302
          78     1.38792     1.34405  0.00928986
          79     1.19853     1.34221   0.0093531
          80     1.41899     1.34317   0.0092853
          81     1.30223     1.34266  0.00918441
          82     1.21577     1.34112  0.00920185
          83     1.28162      1.3404  0.00911886
          84     1.28118     1.33969  0.00903751
          85     1.37809     1.34015  0.00894247
          86     1.49484     1.34194  0.00901758
          87     1.48346     1.34357  0.00905945
          88     1.26492     1.34268  0.00900047
          89     1.42176     1.34357   0.0089431
          90     1.28147     1.34288  0.00887031
          91     1.45999     1.34416  0.00886571
          92        1.26     1.34325  0.00881642
          93     1.48099     1.34473  0.00884515
          94     1.31967     1.34446  0.00875507
          95     1.42267     1.34529  0.00870153
          96     1.38845     1.34574   0.0086225
          97     1.47321     1.34705  0.00863318
          98      1.5146     1.34876  0.00871273
          99       1.435     1.34963  0.00866816
         100      1.3915     1.35005  0.00859158
