#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
               1        -5.42808        -5.42808               0
               2        -5.43169        -5.42989      0.00127644
               3        -5.44532        -5.43503      0.00428523
               4        -5.45848        -5.44089      0.00600931
               5        -5.42532        -5.43778      0.00555675
               6        -5.44894        -5.43964      0.00493239
               7        -5.50784        -5.44938       0.0099615
               8        -5.46336        -5.45113      0.00886816
               9        -5.43697        -5.44956      0.00802109
              10        -5.44381        -5.44898      0.00723952
              11        -5.46998        -5.45089      0.00682838
              12        -5.46456        -5.45203      0.00635371
              13        -5.44682        -5.45163       0.0058776
              14        -5.43989        -5.45079      0.00551724
              15        -5.43401        -5.44967      0.00526166
              16        -5.47619        -5.45133      0.00518735
              17        -5.43276        -5.45024      0.00499594
              18        -5.43021        -5.44912      0.00484071
              19        -5.46927        -5.45018      0.00470067
              20        -5.46154        -5.45075      0.00449982
              21        -5.46004        -5.45119      0.00430721
              22        -5.44363        -5.45085      0.00412513
              23        -5.49399        -5.45273      0.00435125
              24           -5.46        -5.45303       0.0041805
              25        -5.49277        -5.45462      0.00430495
              26        -5.48988        -5.45598      0.00434778
              27         -5.4471        -5.45565      0.00419916
              28        -5.45794        -5.45573      0.00404999
              29        -5.45266        -5.45562      0.00391172
              30        -5.48753        -5.45669      0.00392327
              31        -5.40655        -5.45507      0.00411663
              32        -5.44217        -5.45467      0.00400768
              33        -5.44582         -5.4544       0.0038952
              34        -5.44532        -5.45413      0.00378978
              35        -5.42734        -5.45336      0.00375802
              36        -5.44275        -5.45307      0.00366519
              37        -5.45769        -5.45319      0.00356825
              38        -5.47854        -5.45386      0.00353615
              39         -5.4369        -5.45343      0.00347213
              40        -5.43862        -5.45306        0.003405
              41        -5.50071        -5.45422       0.0035147
              42        -5.42964        -5.45363      0.00347938
              43        -5.45044        -5.45356      0.00339926
              44        -5.40466        -5.45245      0.00349899
              45        -5.45677        -5.45254      0.00342255
              46        -5.44856        -5.45246      0.00334924
              47        -5.38865         -5.4511      0.00354246
              48        -5.49236        -5.45196      0.00357141
              49        -5.49388        -5.45282      0.00359955
              50         -5.4768        -5.45329      0.00355938
              51        -5.42163        -5.45267      0.00354333
              52        -5.45321        -5.45268       0.0034752
              53        -5.48981        -5.45338      0.00347951
              54        -5.42867        -5.45293      0.00344504
              55        -5.46434        -5.45313      0.00338865
              56        -5.46493        -5.45335      0.00333467
              57        -5.43748        -5.45307      0.00328777
              58        -5.45415        -5.45309      0.00323113
              59        -5.43658        -5.45281      0.00318846
              60        -5.42604        -5.45236      0.00316637
              61        -5.44558        -5.45225      0.00311641
              62        -5.43993        -5.45205      0.00307248
              63        -5.46958        -5.45233      0.00303628
              64        -5.45486        -5.45237       0.0029891
              65        -5.42306        -5.45192      0.00297692
              66        -5.45404        -5.45195      0.00293199
              67        -5.46368        -5.45212      0.00289345
              68        -5.41047        -5.45151      0.00291502
              69        -5.46562        -5.45172      0.00287993
              70        -5.43366        -5.45146      0.00285032
              71        -5.41013        -5.45088        0.002869
              72        -5.45702        -5.45096      0.00283043
              73        -5.48375        -5.45141      0.00282708
              74        -5.42915        -5.45111      0.00280483
              75         -5.4965        -5.45171      0.00283198
              76        -5.47618        -5.45204      0.00281296
              77        -5.43196        -5.45178      0.00278849
              78        -5.42279         -5.4514      0.00277739
              79        -5.45831        -5.45149      0.00274361
              80        -5.42013         -5.4511      0.00273718
              81        -5.46158        -5.45123      0.00270644
              82        -5.45517        -5.45128      0.00267387
              83        -5.45595        -5.45133      0.00264224
              84        -5.43561        -5.45115      0.00261741
              85        -5.41759        -5.45075      0.00261622
              86         -5.4104        -5.45028      0.00262753
              87        -5.40517        -5.44976      0.00264801
              88        -5.43692        -5.44962      0.00262194
              89        -5.47037        -5.44985      0.00260282
              90        -5.46113        -5.44998      0.00257692
              91        -5.46229        -5.45011      0.00255215
              92        -5.46837        -5.45031      0.00253211
              93        -5.44524        -5.45026      0.00250547
              94        -5.44172        -5.45016      0.00248046
              95        -5.44511        -5.45011      0.00245492
              96        -5.43273        -5.44993      0.00243602
              97        -5.45102        -5.44994      0.00241093
              98        -5.46695        -5.45012      0.00239257
              99        -5.42132        -5.44982      0.00238602
             100         -5.4555        -5.44988      0.00236284
