#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.41694     2.41694           0
           2     2.35249     2.38471   0.0227858
           3     2.37525     2.38156   0.0154071
           4     2.31233     2.36425   0.0189263
           5     2.35669     2.36274   0.0152014
           6       2.324     2.35628    0.013972
           7     2.08149     2.31703   0.0382664
           8     2.24237     2.30769   0.0346024
           9     2.42535     2.32077   0.0331354
          10     2.41744     2.33043   0.0312004
          11     2.16264     2.31518   0.0318755
          12     2.31698     2.31533   0.0292195
          13     2.32952     2.31642   0.0269922
          14     2.31758      2.3165   0.0250643
          15     2.35134     2.31883   0.0235007
          16     2.15614     2.30866   0.0241316
          17     2.46534     2.31787   0.0244087
          18     2.38701     2.32172   0.0233529
          19      2.1704     2.31375   0.0234424
          20     2.19805     2.30797    0.022973
          21      2.3324     2.30913   0.0219085
          22     2.28307     2.30795   0.0209446
          23     2.06269     2.29728   0.0225859
          24     2.36786     2.30022   0.0218354
          25     2.13751     2.29372   0.0219105
          26      2.2393     2.29162   0.0211675
          27     2.47251     2.29832   0.0214175
          28     2.24226     2.29632    0.020746
          29     2.37772     2.29913   0.0202196
          30      2.1487     2.29411   0.0201577
          31      2.4657     2.29965   0.0202532
          32     2.41428     2.30323   0.0199345
          33     2.30046     2.30315   0.0193306
          34     2.28876     2.30272   0.0187667
          35     2.45573     2.30709   0.0187327
          36     2.28561      2.3065   0.0182219
          37     2.25292     2.30505   0.0177868
          38     2.13722     2.30063   0.0178587
          39     2.30523     2.30075   0.0174012
          40     2.25448     2.29959   0.0170045
          41     2.15368     2.29604   0.0169581
          42     2.34582     2.29722   0.0165958
          43     2.26401     2.29645   0.0162278
          44     2.65269     2.30454   0.0177642
          45     2.20958     2.30243   0.0174944
          46     2.23591     2.30099   0.0171737
          47     2.59513     2.30725   0.0179124
          48     2.08037     2.30252   0.0181521
          49     2.07327     2.29784   0.0183747
          50     2.18006     2.29549   0.0181576
          51     2.36807     2.29691   0.0178572
          52     2.28097      2.2966   0.0175165
          53     2.13502     2.29355   0.0174493
          54     2.38262      2.2952   0.0172039
          55     2.36997     2.29656   0.0169447
          56     2.32664      2.2971   0.0166506
          57     2.41184     2.29911   0.0164798
          58      2.3084     2.29927   0.0161964
          59     2.30079      2.2993   0.0159219
          60     2.40047     2.30098   0.0157456
          61     2.29288     2.30085    0.015488
          62     2.33199     2.30135   0.0152463
          63      2.2629     2.30074   0.0150166
          64     2.35124     2.30153   0.0148026
          65     2.40785     2.30317    0.014665
          66     2.28935     2.30296   0.0144443
          67     2.25302     2.30221   0.0142479
          68      2.5485     2.30584   0.0144914
          69     2.33028     2.30619   0.0142857
          70     2.30849     2.30622   0.0140817
          71     2.54864     2.30964   0.0142913
          72     2.16828     2.30767    0.014227
          73      2.1712      2.3058   0.0141544
          74     2.36488      2.3066   0.0139856
          75     2.15583     2.30459   0.0139429
          76     2.28123     2.30428   0.0137628
          77      2.3275     2.30459   0.0135874
          78     2.34029     2.30504   0.0134209
          79     2.22596     2.30404   0.0132883
          80     2.49638     2.30645   0.0133379
          81     2.19761      2.3051   0.0132408
          82     2.28697     2.30488   0.0130811
          83      2.3307     2.30519   0.0129272
          84     2.32885     2.30548   0.0127764
          85     2.38394      2.3064   0.0126594
          86     2.41632     2.30768   0.0125765
          87     2.48772     2.30975   0.0126011
          88     2.38615     2.31061   0.0124878
          89     2.16504     2.30898   0.0124541
          90     2.22598     2.30806   0.0123499
          91     2.31889     2.30818   0.0122147
          92     2.17492     2.30673   0.0121675
          93     2.32082     2.30688   0.0120376
          94     2.35128     2.30735   0.0119188
          95     2.38906     2.30821   0.0118244
          96     2.37007     2.30886   0.0117187
          97     2.26837     2.30844   0.0116054
          98     2.23193     2.30766   0.0115132
          99     2.44138     2.30901   0.0114758
         100     2.25749     2.30849   0.0113726
