#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1548      1.1548           0
           2     1.10008     1.12744    0.019349
           3     1.10306     1.11931   0.0145057
           4     1.11273     1.11767   0.0109723
           5     1.10083      1.1143  0.00928043
           6     1.08162     1.10885  0.00919426
           7     1.11217     1.10933  0.00789303
           8     1.11877     1.11051  0.00699403
           9     1.09315     1.10858   0.0064774
          10     1.10678      1.1084  0.00583215
          11     1.09468     1.10715  0.00543359
          12     1.08452     1.10527  0.00529784
          13     1.09854     1.10475  0.00491554
          14      1.0894     1.10365  0.00468504
          15     1.07381     1.10166  0.00477653
          16     1.09485     1.10124  0.00449695
          17     1.11487     1.10204  0.00430331
          18     1.10521     1.10221  0.00406783
          19     1.10744     1.10249  0.00386303
          20     1.11373     1.10305  0.00371054
          21     1.10421     1.10311  0.00353426
          22     1.11393      1.1036  0.00340769
          23     1.11689     1.10418  0.00330816
          24     1.09425     1.10376  0.00319608
          25      1.1084     1.10395  0.00307361
          26     1.11629     1.10442   0.0029918
          27     1.10252     1.10435  0.00288183
          28     1.10444     1.10436   0.0027789
          29     1.09939     1.10418  0.00268835
          30     1.09065     1.10373  0.00263635
          31     1.11467     1.10409   0.0025748
          32     1.11749      1.1045   0.0025282
          33     1.07739     1.10368  0.00258167
          34     1.11825     1.10411  0.00254103
          35     1.09233     1.10377  0.00249064
          36     1.08751     1.10332  0.00246209
          37     1.12293     1.10385  0.00245193
          38     1.10796     1.10396   0.0023898
          39     1.12592     1.10452  0.00239396
          40     1.09422     1.10427  0.00234794
          41     1.09266     1.10398  0.00230767
          42     1.09533     1.10378  0.00226191
          43     1.10221     1.10374   0.0022096
          44     1.08429      1.1033  0.00220316
          45     1.07796     1.10274  0.00222499
          46     1.09016     1.10246  0.00219335
          47     1.12176     1.10287  0.00218478
          48     1.08935     1.10259  0.00215736
          49      1.1127      1.1028  0.00212318
          50     1.08245     1.10239  0.00211937
          51     1.08836     1.10212   0.0020956
          52     1.10311     1.10213  0.00205539
          53     1.07802     1.10168  0.00206636
          54     1.08232     1.10132  0.00205897
          55     1.09222     1.10116  0.00202817
          56      1.1099     1.10131  0.00199796
          57     1.09051     1.10112  0.00197187
          58     1.11559     1.10137   0.0019536
          59     1.10736     1.10147  0.00192312
          60      1.0931     1.10133  0.00189613
          61     1.10819     1.10145  0.00186837
          62     1.10743     1.10154  0.00184073
          63      1.1189     1.10182    0.001832
          64     1.11086     1.10196  0.00180882
          65     1.07399     1.10153  0.00183146
          66      1.1296     1.10195  0.00185244
          67     1.08267     1.10167  0.00184701
          68     1.10617     1.10173  0.00182104
          69     1.11311      1.1019  0.00180209
          70     1.10325     1.10192  0.00177645
          71     1.09955     1.10188  0.00175175
          72     1.09571      1.1018  0.00172951
          73     1.09529     1.10171  0.00170812
          74     1.08717     1.10151   0.0016963
          75     1.10631     1.10158  0.00167489
          76     1.08826      1.1014  0.00166199
          77     1.10871      1.1015  0.00164311
          78      1.1092     1.10159  0.00162502
          79     1.08269     1.10136  0.00162197
          80     1.10263     1.10137  0.00160177
