#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.6236      1.6236           0
           2     1.62491     1.62425 0.000462195
           3     1.63789      1.6288  0.00372563
           4     1.65099     1.63435  0.00555767
           5     1.62098     1.63167  0.00504824
           6     1.64251     1.63348  0.00451845
           7     1.70013       1.643  0.00962844
           8     1.65854     1.64494  0.00861865
           9     1.63191      1.6435  0.00778168
          10     1.63803     1.64295  0.00702266
          11     1.66163     1.64465  0.00658642
          12     1.65762     1.64573  0.00612567
          13     1.63825     1.64515  0.00568139
          14     1.63358     1.64433  0.00533535
          15     1.62879     1.64329   0.0050792
          16      1.6685     1.64487  0.00500009
          17     1.62699     1.64382  0.00481531
          18     1.62464     1.64275  0.00466414
          19     1.66197     1.64376    0.004527
          20     1.65548     1.64435  0.00433841
          21     1.65277     1.64475   0.0041503
          22     1.63685     1.64439  0.00397713
          23     1.68519     1.64616  0.00418107
          24      1.6521     1.64641  0.00401416
          25     1.68782     1.64807  0.00418142
          26     1.68293     1.64941  0.00423013
          27     1.63975     1.64905  0.00408855
          28     1.65025     1.64909  0.00394275
          29     1.64655     1.64901  0.00380777
          30     1.68156     1.65009  0.00383237
          31     1.60138     1.64852  0.00401801
          32     1.63603     1.64813  0.00391137
          33     1.64015     1.64789  0.00380032
          34     1.63934     1.64764  0.00369685
          35     1.62174      1.6469  0.00366451
          36      1.6369     1.64662  0.00357323
          37     1.65024     1.64672  0.00347799
          38     1.67119     1.64736  0.00344558
          39     1.63095     1.64694  0.00338282
          40     1.63211     1.64657  0.00331851
          41     1.69464     1.64774  0.00343846
          42     1.62311     1.64715  0.00340623
          43     1.64196     1.64703  0.00332916
          44     1.59888     1.64594  0.00342868
          45     1.64904     1.64601  0.00335318
          46      1.6421     1.64592  0.00328136
          47     1.58387      1.6446  0.00346698
          48     1.68557     1.64546  0.00349825
          49     1.68568     1.64628  0.00352187
          50     1.67096     1.64677  0.00348587
          51     1.61729     1.64619  0.00346513
          52     1.64752     1.64622  0.00339859
          53       1.683     1.64691  0.00340457
          54     1.62403     1.64649  0.00336779
          55     1.65805      1.6467  0.00331311
          56     1.65629     1.64687  0.00325837
          57      1.6323     1.64661  0.00321121
          58     1.64811     1.64664  0.00315595
          59     1.63041     1.64637  0.00311442
          60     1.62022     1.64593  0.00309284
          61     1.63927     1.64582  0.00304406
          62     1.63357     1.64562  0.00300137
          63     1.66439     1.64592  0.00296846
          64     1.65096       1.646  0.00292313
          65     1.61691     1.64555  0.00291221
          66     1.64646     1.64557  0.00286811
          67     1.65604     1.64572  0.00282956
          68     1.60473     1.64512  0.00285145
          69     1.66119     1.64535  0.00281962
          70     1.62812     1.64511  0.00279006
          71     1.60512     1.64454  0.00280704
          72     1.65014     1.64462  0.00276913
          73     1.67529     1.64504  0.00276287
          74     1.62323     1.64475  0.00274121
          75     1.68987     1.64535  0.00276992
          76      1.6718      1.6457  0.00275525
          77     1.62585     1.64544   0.0027315
          78     1.61609     1.64506  0.00272227
          79     1.65143     1.64514  0.00268901
          80     1.61569     1.64477  0.00268048
          81     1.65367     1.64488  0.00264964
          82     1.65118     1.64496  0.00261843
          83     1.64961     1.64502  0.00258749
          84     1.63021     1.64484  0.00256268
          85     1.61253     1.64446  0.00256056
          86     1.60478       1.644  0.00257202
          87     1.59996     1.64349  0.00259179
          88     1.63011     1.64334   0.0025668
          89     1.66441     1.64358  0.00254885
          90      1.6535     1.64369  0.00252291
          91     1.65599     1.64382  0.00249881
          92     1.66094     1.64401  0.00247856
          93     1.64026     1.64397  0.00245224
          94     1.63536     1.64388  0.00242786
          95     1.63861     1.64382  0.00240293
          96     1.62524     1.64363  0.00238569
          97     1.64287     1.64362   0.0023611
          98     1.66039     1.64379  0.00234321
          99      1.6164     1.64351  0.00233582
         100     1.64873     1.64357  0.00231304
