#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10244     1.10244           0
           2     1.09885     1.10065  0.00126832
           3     1.10512     1.10214  0.00148239
           4     1.06265     1.09227  0.00862148
           5     1.10573     1.09496  0.00730583
           6     1.06316     1.08966  0.00777684
           7     1.08264     1.08866  0.00673022
           8     1.08692     1.08844  0.00589243
           9     1.11817     1.09174  0.00609372
          10      1.0864     1.09121   0.0055077
          11     1.11869     1.09371  0.00554459
          12     1.08769     1.09321  0.00510514
          13     1.11108     1.09458  0.00489407
          14     1.07783     1.09338  0.00468851
          15     1.09092     1.09322  0.00437883
          16     1.09142     1.09311   0.0041066
          17     1.10869     1.09402  0.00396606
          18     1.10478     1.09462  0.00379048
          19     1.11472     1.09568  0.00373568
          20     1.10569     1.09618  0.00358227
          21      1.1244     1.09752  0.00365511
          22     1.10313     1.09778  0.00349783
          23     1.08832     1.09737  0.00336982
          24     1.08189     1.09672   0.0032905
          25     1.11811     1.09758  0.00326824
          26     1.10804     1.09798  0.00316722
          27      1.0874     1.09759  0.00307408
          28     1.11868     1.09834  0.00305518
          29     1.08946     1.09804  0.00296513
          30     1.08686     1.09766  0.00288962
          31     1.08693     1.09732  0.00281706
          32     1.10627      1.0976  0.00274289
          33     1.10953     1.09796  0.00268351
          34     1.09933       1.098  0.00260489
          35     1.10485     1.09819   0.0025378
          36     1.10749     1.09845   0.0024804
          37     1.10684     1.09868  0.00242369
          38     1.07784     1.09813  0.00242114
          39     1.09047     1.09793  0.00236701
          40     1.09424     1.09784  0.00230963
          41     1.08723     1.09758  0.00226775
          42     1.10846     1.09784  0.00222848
          43     1.09867     1.09786  0.00217674
          44     1.10613     1.09805  0.00213537
          45      1.0802     1.09765  0.00212444
          46     1.07746     1.09721  0.00212314
          47     1.12338     1.09777  0.00214972
          48     1.09273     1.09767   0.0021075
          49     1.09068     1.09752  0.00206931
          50     1.08394     1.09725  0.00204567
          51     1.09989      1.0973  0.00200622
          52     1.14035     1.09813  0.00213161
          53     1.10195      1.0982  0.00209261
          54     1.08775     1.09801   0.0020628
          55     1.09977     1.09804  0.00202554
          56      1.0948     1.09798  0.00199019
          57     1.09675     1.09796  0.00195539
          58     1.08685     1.09777  0.00193105
          59     1.08811     1.09761  0.00190525
          60     1.08778     1.09744  0.00188053
          61     1.10124     1.09751  0.00185073
          62     1.07413     1.09713  0.00185889
          63     1.08831     1.09699  0.00183465
          64     1.07514     1.09665  0.00183747
          65     1.10678      1.0968   0.0018158
          66     1.08208     1.09658  0.00180194
          67     1.10401     1.09669  0.00177846
          68     1.10192     1.09677  0.00175396
          69     1.09958     1.09681  0.00172902
          70     1.09213     1.09674  0.00170561
          71     1.07661     1.09646  0.00170498
          72     1.09481     1.09643  0.00168146
          73     1.09996     1.09648  0.00165911
          74     1.07931     1.09625  0.00165284
          75     1.10612     1.09638  0.00163604
          76     1.09245     1.09633  0.00161533
          77     1.10096     1.09639  0.00159547
          78     1.08566     1.09625  0.00158093
          79     1.09085     1.09619   0.0015624
          80     1.09397     1.09616  0.00154311
          81     1.08577     1.09603  0.00152939
          82     1.10795     1.09617  0.00151763
          83     1.10009     1.09622  0.00150008
          84     1.08851     1.09613  0.00148503
          85     1.09881     1.09616  0.00146789
          86     1.08559     1.09604  0.00145596
          87     1.09028     1.09597  0.00144073
          88      1.0852     1.09585  0.00142955
          89     1.10886       1.096  0.00142095
          90      1.1035     1.09608  0.00140761
          91     1.06833     1.09577  0.00142478
          92     1.09989     1.09582     0.00141
          93     1.10218     1.09589   0.0013965
          94     1.07674     1.09568  0.00139641
          95     1.08685     1.09559  0.00138481
          96     1.10522     1.09569  0.00137401
          97     1.10837     1.09582  0.00136605
          98     1.10145     1.09588  0.00135332
          99     1.09242     1.09584   0.0013401
         100      1.0976     1.09586  0.00132681
