#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80791    -3.80791           0
           2    -3.80697    -3.80744 0.000331363
           3    -3.80579    -3.80689 0.000500475
           4    -3.80668    -3.80684 0.000378022
           5    -3.80659    -3.80679 0.000305821
           6    -3.80371    -3.80628 0.000532862
           7    -3.80726    -3.80642 0.000474791
           8    -3.80595    -3.80636 0.000418996
           9    -3.80585     -3.8063 0.000376164
          10    -3.80633     -3.8063 0.000338555
          11    -3.80895    -3.80655 0.000384012
          12    -3.80633    -3.80653 0.000352427
          13    -3.80775    -3.80662 0.000337712
          14     -3.8047    -3.80648 0.000340336
          15    -3.80915    -3.80666 0.000361187
          16    -3.80658    -3.80666 0.000338647
          17    -3.80769    -3.80672 0.000324116
          18    -3.80555    -3.80665 0.000312532
          19    -3.80572     -3.8066  0.00029993
          20    -3.80593    -3.80657 0.000286839
          21    -3.80843    -3.80666 0.000286519
          22    -3.80653    -3.80665 0.000273558
          23    -3.80648    -3.80665 0.000261765
          24    -3.80513    -3.80658 0.000258354
          25    -3.80661    -3.80658 0.000248023
          26    -3.80529    -3.80653 0.000243398
          27    -3.80714    -3.80656   0.0002354
          28    -3.80666    -3.80656 0.000227022
          29    -3.80822    -3.80662 0.000226269
          30    -3.80568    -3.80659 0.000220856
          31    -3.80542    -3.80655 0.000216893
          32     -3.8073    -3.80657 0.000211382
          33     -3.8054    -3.80654 0.000207915
          34    -3.80574    -3.80651 0.000203128
          35    -3.80511    -3.80647 0.000201222
          36    -3.80482    -3.80643 0.000200797
          37    -3.80866    -3.80649 0.000204216
          38    -3.80759    -3.80652 0.000200902
          39    -3.80775    -3.80655 0.000198205
          40    -3.80854     -3.8066 0.000199431
          41    -3.80639    -3.80659 0.000194629
          42    -3.80704     -3.8066  0.00019029
          43    -3.80502    -3.80657 0.000189391
          44    -3.80521    -3.80654 0.000187564
          45     -3.8053    -3.80651 0.000185404
          46    -3.80615     -3.8065  0.00018154
          47    -3.80602    -3.80649 0.000177965
          48    -3.80695     -3.8065 0.000174513
          49    -3.80502    -3.80647 0.000173537
          50    -3.80703    -3.80648 0.000170422
          51    -3.80573    -3.80647 0.000167708
          52    -3.80707    -3.80648 0.000164878
          53    -3.80612    -3.80647 0.000161904
          54    -3.80509    -3.80645 0.000160918
          55    -3.80695    -3.80645 0.000158257
          56    -3.80895     -3.8065 0.000161592
          57    -3.80609    -3.80649 0.000158915
          58    -3.80693     -3.8065 0.000156357
          59    -3.80636     -3.8065 0.000153726
          60    -3.80625    -3.80649  0.00015122
          61    -3.80653    -3.80649 0.000148742
          62    -3.80373    -3.80645 0.000152878
          63    -3.80513    -3.80643 0.000151878
          64     -3.8073    -3.80644 0.000150115
          65    -3.80645    -3.80644 0.000147806
          66    -3.80609    -3.80644 0.000145661
          67    -3.80642    -3.80644 0.000143487
          68    -3.80791    -3.80646 0.000143015
          69    -3.80725    -3.80647 0.000141405
          70    -3.80677    -3.80647 0.000139448
          71    -3.80518    -3.80646 0.000138672
          72    -3.80869    -3.80649 0.000140175
          73    -3.80643    -3.80649 0.000138257
          74      -3.807    -3.80649  0.00013656
          75    -3.80716     -3.8065 0.000135026
          76    -3.80621     -3.8065 0.000133304
          77    -3.80669     -3.8065 0.000131595
          78    -3.80733    -3.80651 0.000130337
          79    -3.80423    -3.80648 0.000131844
          80    -3.80639    -3.80648 0.000130201
          81    -3.80534    -3.80647 0.000129349
          82    -3.80537    -3.80645 0.000128466
          83    -3.80736    -3.80646 0.000127378
          84    -3.80784    -3.80648 0.000126914
          85     -3.8059    -3.80647 0.000125605
          86    -3.80653    -3.80647 0.000124146
          87    -3.80595    -3.80647 0.000122865
          88    -3.80675    -3.80647 0.000121509
          89    -3.80717    -3.80648 0.000120399
          90     -3.8064    -3.80648 0.000119064
          91    -3.80821     -3.8065 0.000119265
          92      -3.807     -3.8065 0.000118094
          93    -3.80771    -3.80652 0.000117533
          94    -3.80789    -3.80653  0.00011719
          95    -3.80753    -3.80654 0.000116426
          96    -3.80637    -3.80654 0.000115226
          97    -3.80602    -3.80653 0.000114164
          98     -3.8059    -3.80653 0.000113186
          99    -3.80448    -3.80651  0.00011392
         100    -3.80654    -3.80651 0.000112781
